ElectionType,ElectionDuration,District,PanchayatSamiti,SrNo,GramPanchayat,NominationTotalNoOfNominationFilled,NominationCandidate,ValidlyNominatedCandidate,Withdrawal,Unopposed,Contestants
General Election,JAN-MAR 2020,DUNGARPUR,JOTHALI PANCHAYAT SAMITI,19,NAGARIYA PANCHELA,11,11,11,6,0,5
General Election,JAN-MAR 2020,DUNGARPUR,JOTHALI PANCHAYAT SAMITI,20,NEGALA,8,8,8,1,0,7
General Election,JAN-MAR 2020,DUNGARPUR,JOTHALI PANCHAYAT SAMITI,21,PADLI GUJRESHWER,21,21,21,9,0,12
General Election,JAN-MAR 2020,DUNGARPUR,JOTHALI PANCHAYAT SAMITI,22,POHARI PATELN,7,7,7,2,0,5
General Election,JAN-MAR 2020,DUNGARPUR,JOTHALI PANCHAYAT SAMITI,23,POHRI KHATURAT,7,7,7,4,0,3
General Election,JAN-MAR 2020,DUNGARPUR,JOTHALI PANCHAYAT SAMITI,24,RENTA,17,17,17,7,0,10
General Election,JAN-MAR 2020,DUNGARPUR,JOTHALI PANCHAYAT SAMITI,25,RODA,13,13,13,0,0,13
General Election,JAN-MAR 2020,DUNGARPUR,JOTHALI PANCHAYAT SAMITI,26,SANSRPUR,7,7,7,4,0,3
General Election,JAN-MAR 2020,DUNGARPUR,JOTHALI PANCHAYAT SAMITI,27,SURATA,16,16,16,7,0,9
General Election,JAN-MAR 2020,DUNGARPUR,JOTHALI PANCHAYAT SAMITI,28,UTIYA,16,16,16,6,0,10
General Election,JAN-MAR 2020,DUNGARPUR,JOTHALI PANCHAYAT SAMITI,29,VAINJA,7,7,7,2,0,5
General Election,JAN-MAR 2020,DUNGARPUR,JOTHALI PANCHAYAT SAMITI,30,VANIYA TALAB,13,13,13,5,0,8
General Election,JAN-MAR 2020,DUNGARPUR,JOTHALI PANCHAYAT SAMITI,31,VASUA,19,19,18,7,0,11
General Election,JAN-MAR 2020,DUNGARPUR,JOTHALI PANCHAYAT SAMITI,32,VIKAS NAGAR,13,13,13,7,0,6
By Election,DEC 2021,BUNDI,BUNDI PANCHAYAT SAMITI,1,KHATKAD,nan,nan,nan,nan,nan,nan
General Election,JAN-MAR 2020,DHOLPUR,SAIPAU PANCHAYAT SAMITI,1,BHADIYANA,14,14,14,10,0,4
General Election,JAN-MAR 2020,DHOLPUR,SAIPAU PANCHAYAT SAMITI,2,CHITORA,10,10,10,6,0,4
General Election,JAN-MAR 2020,DHOLPUR,SAIPAU PANCHAYAT SAMITI,3,DONARI,20,20,20,12,0,8
General Election,JAN-MAR 2020,DHOLPUR,SAIPAU PANCHAYAT SAMITI,4,GHADICHTOLA,8,8,7,3,0,4
General Election,JAN-MAR 2020,DHOLPUR,SAIPAU PANCHAYAT SAMITI,5,HAJIPURA (G),15,15,15,10,0,5
General Election,JAN-MAR 2020,DHOLPUR,SAIPAU PANCHAYAT SAMITI,6,KANASIL,12,12,12,11,1,0
General Election,JAN-MAR 2020,DHOLPUR,SAIPAU PANCHAYAT SAMITI,7,KANTHERI,4,4,4,0,0,4
General Election,JAN-MAR 2020,DHOLPUR,SAIPAU PANCHAYAT SAMITI,8,KARIMPUR,3,3,3,1,0,2
General Election,JAN-MAR 2020,DHOLPUR,SAIPAU PANCHAYAT SAMITI,9,KOLARI,6,6,6,3,0,3
General Election,JAN-MAR 2020,DHOLPUR,SAIPAU PANCHAYAT SAMITI,10,KUKRAMANKERA,10,10,10,6,0,4
General Election,JAN-MAR 2020,DHOLPUR,SAIPAU PANCHAYAT SAMITI,11,KURANDIA,7,7,7,4,0,3
General Election,JAN-MAR 2020,DHOLPUR,SAIPAU PANCHAYAT SAMITI,12,MALONIPANWAR,10,10,10,5,0,5
General Election,JAN-MAR 2020,DHOLPUR,SAIPAU PANCHAYAT SAMITI,13,MANPUR,13,13,13,7,0,6
General Election,JAN-MAR 2020,DHOLPUR,SAIPAU PANCHAYAT SAMITI,14,MUSALPUR,10,10,5,1,0,4
General Election,JAN-MAR 2020,DHOLPUR,SAIPAU PANCHAYAT SAMITI,15,NAGALAHARLAL,6,6,6,3,0,3
General Election,JAN-MAR 2020,DHOLPUR,SAIPAU PANCHAYAT SAMITI,16,NIDHRAKALAN,11,11,11,4,0,7
General Election,JAN-MAR 2020,DHOLPUR,SAIPAU PANCHAYAT SAMITI,17,NUHERA,7,7,6,1,0,5
General Election,JAN-MAR 2020,DHOLPUR,SAIPAU PANCHAYAT SAMITI,18,PAROUA,12,12,12,7,0,5
General Election,JAN-MAR 2020,DHOLPUR,SAIPAU PANCHAYAT SAMITI,19,PIPROA,9,9,9,5,0,4
General Election,JAN-MAR 2020,DHOLPUR,SAIPAU PANCHAYAT SAMITI,20,RAJORAKALAN,10,10,10,6,0,4
General Election,JAN-MAR 2020,DHOLPUR,SAIPAU PANCHAYAT SAMITI,21,TASIMA,9,9,9,4,0,5
General Election,JAN-MAR 2020,DHOLPUR,SAIPAU PANCHAYAT SAMITI,22,TEHRI,16,16,15,6,0,9
General Election,JAN-MAR 2020,DUNGARPUR,DOVADA PANCHAYAT SAMITI,1,AASELA,13,13,13,6,0,7
General Election,JAN-MAR 2020,DUNGARPUR,DOVADA PANCHAYAT SAMITI,2,ANTRI,12,12,11,5,0,6
General Election,JAN-MAR 2020,DUNGARPUR,DOVADA PANCHAYAT SAMITI,3,BAIYODA,8,8,8,1,0,7
General Election,JAN-MAR 2020,DUNGARPUR,DOVADA PANCHAYAT SAMITI,4,BJOJATO KA AODA,9,9,9,3,0,6
General Election,JAN-MAR 2020,DUNGARPUR,DOVADA PANCHAYAT SAMITI,5,DAMDI,6,6,6,1,0,5
General Election,JAN-MAR 2020,DUNGARPUR,DOVADA PANCHAYAT SAMITI,6,DEVSOMNATH,4,4,4,1,0,3
General Election,JAN-MAR 2020,DUNGARPUR,DOVADA PANCHAYAT SAMITI,7,DHANVDI,14,14,14,2,0,12
General Election,JAN-MAR 2020,DUNGARPUR,DOVADA PANCHAYAT SAMITI,8,DOJA,16,16,16,6,0,10
General Election,JAN-MAR 2020,DUNGARPUR,DOVADA PANCHAYAT SAMITI,9,DOVADA,11,11,11,5,0,6
General Election,JAN-MAR 2020,DUNGARPUR,DOVADA PANCHAYAT SAMITI,10,FALOJ,10,10,10,3,0,7
General Election,JAN-MAR 2020,DUNGARPUR,DOVADA PANCHAYAT SAMITI,11,GHATAU,12,12,12,2,0,10
General Election,JAN-MAR 2020,DUNGARPUR,DOVADA PANCHAYAT SAMITI,12,HATHAI,13,13,13,4,0,9
General Election,JAN-MAR 2020,DUNGARPUR,DOVADA PANCHAYAT SAMITI,13,HIRATA,12,12,12,5,0,7
General Election,JAN-MAR 2020,DUNGARPUR,DOVADA PANCHAYAT SAMITI,14,KANHARI,5,5,5,0,0,5
General Election,JAN-MAR 2020,DUNGARPUR,DOVADA PANCHAYAT SAMITI,15,KHEMPUR,9,9,9,1,0,8
General Election,JAN-MAR 2020,DUNGARPUR,DOVADA PANCHAYAT SAMITI,16,KOLKHANDA,6,6,6,4,0,2
General Election,JAN-MAR 2020,DUNGARPUR,DOVADA PANCHAYAT SAMITI,17,KOLKHANDA PAL,8,8,8,3,0,5
General Election,JAN-MAR 2020,DUNGARPUR,DOVADA PANCHAYAT SAMITI,18,LOLAKPUR,11,11,11,3,0,8
General Election,JAN-MAR 2020,DUNGARPUR,DOVADA PANCHAYAT SAMITI,19,MANDAWA,28,28,27,9,0,18
General Election,JAN-MAR 2020,DUNGARPUR,DOVADA PANCHAYAT SAMITI,20,MANPUR,15,15,15,6,0,9
General Election,JAN-MAR 2020,DUNGARPUR,DOVADA PANCHAYAT SAMITI,21,NARNIYA (B),4,4,4,1,0,3
General Election,JAN-MAR 2020,DUNGARPUR,DOVADA PANCHAYAT SAMITI,22,ODVADIYA,10,10,10,2,0,8
General Election,JAN-MAR 2020,DUNGARPUR,DOVADA PANCHAYAT SAMITI,23,PAL VASSI,12,12,12,2,0,10
General Election,JAN-MAR 2020,DUNGARPUR,DOVADA PANCHAYAT SAMITI,24,PALMANDAV,11,11,11,4,0,7
General Election,JAN-MAR 2020,DUNGARPUR,DOVADA PANCHAYAT SAMITI,25,PANTALI,14,14,14,5,0,9
General Election,JAN-MAR 2020,DUNGARPUR,DOVADA PANCHAYAT SAMITI,26,PARDA MORU,13,13,13,4,0,9
General Election,JAN-MAR 2020,DUNGARPUR,DOVADA PANCHAYAT SAMITI,27,PUNALI,7,7,7,0,0,7
General Election,JAN-MAR 2020,DUNGARPUR,DOVADA PANCHAYAT SAMITI,28,RAGELA,11,11,11,2,0,9
General Election,JAN-MAR 2020,DUNGARPUR,DOVADA PANCHAYAT SAMITI,29,RAGHUNATHPURA,10,10,10,2,0,8
General Election,JAN-MAR 2020,DUNGARPUR,DOVADA PANCHAYAT SAMITI,30,SATTU,11,11,11,5,0,6
General Election,JAN-MAR 2020,DUNGARPUR,DOVADA PANCHAYAT SAMITI,31,SAVGARH,10,10,10,2,0,8
General Election,JAN-MAR 2020,DUNGARPUR,DOVADA PANCHAYAT SAMITI,32,SELAJ,9,9,9,1,0,8
General Election,JAN-MAR 2020,DUNGARPUR,DOVADA PANCHAYAT SAMITI,33,VALOTA,13,13,13,3,0,10
General Election,JAN-MAR 2020,DUNGARPUR,DOVADA PANCHAYAT SAMITI,34,VASI,12,12,12,2,0,10
General Election,JAN-MAR 2020,DUNGARPUR,SAGWARA PANCHAYAT SAMITI,1,AARA,5,5,5,1,0,4
General Election,JAN-MAR 2020,DUNGARPUR,SAGWARA PANCHAYAT SAMITI,2,BADGAMA,7,7,7,2,0,5
General Election,JAN-MAR 2020,DUNGARPUR,SAGWARA PANCHAYAT SAMITI,3,BARBUDNIYA,3,3,3,0,0,3
General Election,JAN-MAR 2020,DUNGARPUR,CHIKHALI PANCHAYAT SAMITI,1,AMBADA,7,7,7,3,0,4
General Election,JAN-MAR 2020,DUNGARPUR,CHIKHALI PANCHAYAT SAMITI,2,BADGAMA,9,9,9,5,0,4
General Election,JAN-MAR 2020,DUNGARPUR,CHIKHALI PANCHAYAT SAMITI,3,BAVDI,8,8,8,3,0,5
General Election,JAN-MAR 2020,DUNGARPUR,CHIKHALI PANCHAYAT SAMITI,4,BHACHADIYA KHAS,20,20,20,9,0,11
General Election,JAN-MAR 2020,DUNGARPUR,CHIKHALI PANCHAYAT SAMITI,5,BODAMLI,16,16,16,7,0,9
General Election,JAN-MAR 2020,DUNGARPUR,CHIKHALI PANCHAYAT SAMITI,6,BORMATA,18,18,18,8,0,10
General Election,JAN-MAR 2020,DUNGARPUR,CHIKHALI PANCHAYAT SAMITI,7,CHINKHALI,8,8,7,2,0,5
General Election,JAN-MAR 2020,DUNGARPUR,CHIKHALI PANCHAYAT SAMITI,8,DARIYATI,20,20,18,5,0,13
General Election,JAN-MAR 2020,DUNGARPUR,CHIKHALI PANCHAYAT SAMITI,9,DHANGAON,18,18,18,10,0,8
General Election,JAN-MAR 2020,DUNGARPUR,CHIKHALI PANCHAYAT SAMITI,10,DHUNDI,11,11,11,5,0,6
General Election,JAN-MAR 2020,DUNGARPUR,CHIKHALI PANCHAYAT SAMITI,11,DUNGAR,18,18,18,11,0,7
General Election,JAN-MAR 2020,DUNGARPUR,CHIKHALI PANCHAYAT SAMITI,12,DUNGARSARAN,11,11,11,5,0,6
General Election,JAN-MAR 2020,DUNGARPUR,CHIKHALI PANCHAYAT SAMITI,13,GUNDLARA,18,18,18,8,0,10
General Election,JAN-MAR 2020,DUNGARPUR,CHIKHALI PANCHAYAT SAMITI,14,JORAWARPURA,8,8,8,4,0,4
General Election,JAN-MAR 2020,DUNGARPUR,SAGWARA PANCHAYAT SAMITI,4,BEN,19,19,19,3,0,16
General Election,JAN-MAR 2020,DUNGARPUR,SAGWARA PANCHAYAT SAMITI,5,BHASOR,7,7,7,1,0,6
General Election,JAN-MAR 2020,DUNGARPUR,SAGWARA PANCHAYAT SAMITI,6,BHEELUNDA,7,7,7,1,0,6
General Election,JAN-MAR 2020,DUNGARPUR,SAGWARA PANCHAYAT SAMITI,7,BIJAWADA,8,8,8,0,0,8
General Election,JAN-MAR 2020,DUNGARPUR,SAGWARA PANCHAYAT SAMITI,8,BUNCHIYA BADA,16,16,16,5,0,11
General Election,JAN-MAR 2020,DUNGARPUR,SAGWARA PANCHAYAT SAMITI,9,CHHANI,12,12,11,4,0,7
General Election,JAN-MAR 2020,DUNGARPUR,SAGWARA PANCHAYAT SAMITI,10,DECHA,7,7,7,2,0,5
General Election,JAN-MAR 2020,DUNGARPUR,SAGWARA PANCHAYAT SAMITI,11,FALATED,11,11,11,2,0,9
General Election,JAN-MAR 2020,DUNGARPUR,SAGWARA PANCHAYAT SAMITI,12,FAVTA,9,9,9,2,0,7
General Election,JAN-MAR 2020,DUNGARPUR,SAGWARA PANCHAYAT SAMITI,13,GADA VEJANIYA,14,14,13,3,0,10
General Election,JAN-MAR 2020,DUNGARPUR,SAGWARA PANCHAYAT SAMITI,14,GADAJHUMJI,14,14,14,1,0,13
General Election,JAN-MAR 2020,DUNGARPUR,SAGWARA PANCHAYAT SAMITI,15,GAMDA BAMNIYA,10,10,10,2,0,8
General Election,JAN-MAR 2020,DUNGARPUR,SAGWARA PANCHAYAT SAMITI,16,GAMDI DEVKI,5,5,5,0,0,5
General Election,JAN-MAR 2020,DUNGARPUR,SAGWARA PANCHAYAT SAMITI,17,GHATOD,9,9,9,4,0,5
General Election,JAN-MAR 2020,DUNGARPUR,SAGWARA PANCHAYAT SAMITI,18,GHODAPALA,3,3,3,1,0,2
General Election,JAN-MAR 2020,DUNGARPUR,SAGWARA PANCHAYAT SAMITI,19,GOVADI,9,9,8,3,0,5
General Election,JAN-MAR 2020,DUNGARPUR,SAGWARA PANCHAYAT SAMITI,20,HADMALA (VANORI),6,6,6,0,0,6
General Election,JAN-MAR 2020,DUNGARPUR,SAGWARA PANCHAYAT SAMITI,21,JETHANA,4,4,4,1,0,3
General Election,JAN-MAR 2020,DUNGARPUR,SAGWARA PANCHAYAT SAMITI,22,JHAKRI,7,7,7,4,0,3
General Election,JAN-MAR 2020,DUNGARPUR,SAGWARA PANCHAYAT SAMITI,23,KAHELA,8,8,8,2,0,6
General Election,JAN-MAR 2020,DUNGARPUR,SAGWARA PANCHAYAT SAMITI,24,KARADA,4,4,4,1,0,3
General Election,JAN-MAR 2020,DUNGARPUR,SAGWARA PANCHAYAT SAMITI,25,KARIYANA,3,3,3,0,0,3
General Election,JAN-MAR 2020,DUNGARPUR,SAGWARA PANCHAYAT SAMITI,26,KHADGADA,5,5,5,0,0,5
General Election,JAN-MAR 2020,DUNGARPUR,SAGWARA PANCHAYAT SAMITI,27,KISHANPURA,13,13,13,1,0,12
General Election,JAN-MAR 2020,DUNGARPUR,SAGWARA PANCHAYAT SAMITI,28,KOKAPURA,6,6,6,0,0,6
General Election,JAN-MAR 2020,DUNGARPUR,SAGWARA PANCHAYAT SAMITI,29,MANDAWA,9,9,9,3,0,6
General Election,JAN-MAR 2020,DUNGARPUR,SAGWARA PANCHAYAT SAMITI,30,NANDOD,7,7,7,1,0,6
General Election,JAN-MAR 2020,DUNGARPUR,SAGWARA PANCHAYAT SAMITI,31,NAVAGAON,7,7,6,1,0,5
General Election,JAN-MAR 2020,DUNGARPUR,SAGWARA PANCHAYAT SAMITI,32,NOKHNA,7,7,7,1,0,6
General Election,JAN-MAR 2020,DUNGARPUR,SAGWARA PANCHAYAT SAMITI,33,OBRI,9,9,9,1,0,8
General Election,JAN-MAR 2020,DUNGARPUR,SAGWARA PANCHAYAT SAMITI,34,OOD,7,7,7,2,0,5
General Election,JAN-MAR 2020,DUNGARPUR,SAGWARA PANCHAYAT SAMITI,35,PADARADI BADI,7,7,7,3,0,4
General Election,JAN-MAR 2020,DUNGARPUR,SAGWARA PANCHAYAT SAMITI,36,PADAWA,6,6,6,2,0,4
General Election,JAN-MAR 2020,DUNGARPUR,SAGWARA PANCHAYAT SAMITI,37,PADLA HAADLIYA,9,9,9,4,0,5
General Election,JAN-MAR 2020,DUNGARPUR,SAGWARA PANCHAYAT SAMITI,38,PADRA,7,7,7,1,0,6
General Election,JAN-MAR 2020,DUNGARPUR,SAGWARA PANCHAYAT SAMITI,39,PARDA SARODA,6,6,6,1,0,5
General Election,JAN-MAR 2020,DUNGARPUR,SAGWARA PANCHAYAT SAMITI,40,PIPALAGUNJ,15,15,15,2,0,13
General Election,JAN-MAR 2020,DUNGARPUR,SAGWARA PANCHAYAT SAMITI,41,RANOLI,13,13,13,3,0,10
General Election,JAN-MAR 2020,DUNGARPUR,SAGWARA PANCHAYAT SAMITI,42,SAMLIYA PANDIYA,7,7,7,1,0,6
General Election,JAN-MAR 2020,DUNGARPUR,SAGWARA PANCHAYAT SAMITI,43,SARODA,8,8,8,2,0,6
General Election,JAN-MAR 2020,DUNGARPUR,SAGWARA PANCHAYAT SAMITI,44,SELOTA,13,13,13,3,0,10
General Election,JAN-MAR 2020,DUNGARPUR,SAGWARA PANCHAYAT SAMITI,45,SEMLIYA,7,7,7,6,1,1
General Election,JAN-MAR 2020,DUNGARPUR,SAGWARA PANCHAYAT SAMITI,46,SUKHAPADAR,20,20,20,4,0,16
General Election,JAN-MAR 2020,DUNGARPUR,SABLA PANCHAYAT SAMITI,1,BHADAGA,19,19,18,7,0,11
General Election,JAN-MAR 2020,DUNGARPUR,SABLA PANCHAYAT SAMITI,2,BHEKHRED,9,9,9,3,0,6
General Election,JAN-MAR 2020,DUNGARPUR,SABLA PANCHAYAT SAMITI,3,BHODAN KA BELLA,7,7,7,2,0,5
General Election,JAN-MAR 2020,DUNGARPUR,SABLA PANCHAYAT SAMITI,4,BODIGAMA BADA,5,5,5,0,0,5
General Election,JAN-MAR 2020,DUNGARPUR,SABLA PANCHAYAT SAMITI,5,BODIGAMA CHHOTA,3,3,3,1,0,2
General Election,JAN-MAR 2020,DUNGARPUR,SABLA PANCHAYAT SAMITI,6,BOSI,13,13,12,2,0,10
General Election,JAN-MAR 2020,DUNGARPUR,SABLA PANCHAYAT SAMITI,7,DOLPURA,8,8,8,4,0,4
General Election,JAN-MAR 2020,DUNGARPUR,SABLA PANCHAYAT SAMITI,8,GAMDI,10,10,10,3,0,7
General Election,JAN-MAR 2020,DUNGARPUR,SABLA PANCHAYAT SAMITI,9,JHARIYANA,7,7,7,1,0,6
General Election,JAN-MAR 2020,DUNGARPUR,SABLA PANCHAYAT SAMITI,10,KABJA,6,6,6,0,0,6
General Election,JAN-MAR 2020,DUNGARPUR,SABLA PANCHAYAT SAMITI,11,KHANAN,6,6,6,1,0,5
General Election,JAN-MAR 2020,DUNGARPUR,SABLA PANCHAYAT SAMITI,12,LIMBATA,16,16,16,6,0,10
General Election,JAN-MAR 2020,DUNGARPUR,SABLA PANCHAYAT SAMITI,13,LODAWAL,13,13,13,3,0,10
General Election,JAN-MAR 2020,DUNGARPUR,SABLA PANCHAYAT SAMITI,14,MAL,6,6,6,0,0,6
General Election,JAN-MAR 2020,DUNGARPUR,SABLA PANCHAYAT SAMITI,15,METHALA,4,4,4,0,0,4
General Election,JAN-MAR 2020,DUNGARPUR,SABLA PANCHAYAT SAMITI,16,MIYALI,8,8,8,2,0,6
General Election,JAN-MAR 2020,DUNGARPUR,SABLA PANCHAYAT SAMITI,17,MUNGER,6,6,6,2,0,4
General Election,JAN-MAR 2020,DUNGARPUR,SABLA PANCHAYAT SAMITI,18,NANDLI AHADA,4,4,4,2,0,2
General Election,JAN-MAR 2020,DUNGARPUR,SABLA PANCHAYAT SAMITI,19,NITHAUAWA,6,6,6,2,0,4
General Election,JAN-MAR 2020,DUNGARPUR,SABLA PANCHAYAT SAMITI,20,PACHLASA BADA,2,2,2,0,0,2
General Election,JAN-MAR 2020,DUNGARPUR,SABLA PANCHAYAT SAMITI,21,PACHLASA CHHOTA,5,5,5,0,0,5
General Election,JAN-MAR 2020,DUNGARPUR,SABLA PANCHAYAT SAMITI,22,PAL NITHAUAWA,8,8,8,2,0,6
General Election,JAN-MAR 2020,DUNGARPUR,SABLA PANCHAYAT SAMITI,23,PATANPURA,12,12,12,6,0,6
General Election,JAN-MAR 2020,DUNGARPUR,SABLA PANCHAYAT SAMITI,24,PINDAWAL,7,7,6,1,0,5
General Election,JAN-MAR 2020,DUNGARPUR,SABLA PANCHAYAT SAMITI,25,REECHA,4,4,4,2,0,2
General Election,JAN-MAR 2020,DUNGARPUR,SABLA PANCHAYAT SAMITI,26,SABLA,12,12,12,0,0,12
General Election,JAN-MAR 2020,DUNGARPUR,SABLA PANCHAYAT SAMITI,27,SANGOTHA,6,6,5,2,0,3
General Election,JAN-MAR 2020,DUNGARPUR,SABLA PANCHAYAT SAMITI,28,SOLAJ,15,15,15,4,0,11
General Election,JAN-MAR 2020,DUNGARPUR,SABLA PANCHAYAT SAMITI,29,TALORA,5,5,5,0,0,5
General Election,JAN-MAR 2020,DUNGARPUR,SABLA PANCHAYAT SAMITI,30,VALAI,9,9,9,4,0,5
General Election,JAN-MAR 2020,DUNGARPUR,SABLA PANCHAYAT SAMITI,31,VANVAASA,5,5,5,0,0,5
General Election,JAN-MAR 2020,DUNGARPUR,CHIKHALI PANCHAYAT SAMITI,15,KAUN,16,16,16,8,0,8
General Election,JAN-MAR 2020,DUNGARPUR,CHIKHALI PANCHAYAT SAMITI,16,KOCHARI,14,14,12,5,0,7
General Election,JAN-MAR 2020,DUNGARPUR,CHIKHALI PANCHAYAT SAMITI,17,LIKHATIYA PANCHKUNDI,13,13,13,4,0,9
General Election,JAN-MAR 2020,DUNGARPUR,CHIKHALI PANCHAYAT SAMITI,18,MALAKHOLDA,13,13,13,7,0,6
General Election,JAN-MAR 2020,DUNGARPUR,CHIKHALI PANCHAYAT SAMITI,19,NAIBASTI BADGAMA,14,14,12,6,0,6
General Election,JAN-MAR 2020,DUNGARPUR,CHIKHALI PANCHAYAT SAMITI,20,PARADA DARIYATI,1,1,1,1,0,0
General Election,JAN-MAR 2020,DUNGARPUR,CHIKHALI PANCHAYAT SAMITI,21,PUNAWADA,14,14,14,5,0,9
General Election,JAN-MAR 2020,DUNGARPUR,CHIKHALI PANCHAYAT SAMITI,22,RATHADI,15,15,15,6,0,9
General Election,JAN-MAR 2020,DUNGARPUR,CHIKHALI PANCHAYAT SAMITI,23,SAKODRA,6,6,6,3,0,3
General Election,JAN-MAR 2020,DUNGARPUR,CHIKHALI PANCHAYAT SAMITI,24,SALEDA,10,10,10,5,0,5
General Election,JAN-MAR 2020,DUNGARPUR,CHIKHALI PANCHAYAT SAMITI,25,SENDOLA,21,21,21,7,0,14
General Election,JAN-MAR 2020,DUNGARPUR,CHIKHALI PANCHAYAT SAMITI,26,SHISHOT,11,11,11,4,0,7
General Election,JAN-MAR 2020,DUNGARPUR,CHIKHALI PANCHAYAT SAMITI,27,UDADIYA,20,20,20,7,0,13
General Election,JAN-MAR 2020,DUNGARPUR,SAGWARA PANCHAYAT SAMITI,47,TAMTIYA,6,6,6,0,0,6
General Election,JAN-MAR 2020,DUNGARPUR,SAGWARA PANCHAYAT SAMITI,48,THARKADA,8,8,8,0,0,8
General Election,JAN-MAR 2020,DUNGARPUR,SAGWARA PANCHAYAT SAMITI,49,VAGERI,4,4,4,0,0,4
General Election,JAN-MAR 2020,DUNGARPUR,SAGWARA PANCHAYAT SAMITI,50,VAMASA,6,6,6,0,0,6
General Election,JAN-MAR 2020,DUNGARPUR,SAGWARA PANCHAYAT SAMITI,51,VARDA,4,4,4,0,0,4
General Election,JAN-MAR 2020,DUNGARPUR,SAGWARA PANCHAYAT SAMITI,52,VARSINGPUR,10,10,10,3,0,7
General Election,JAN-MAR 2020,DUNGARPUR,SAGWARA PANCHAYAT SAMITI,53,VIRAT,13,13,13,6,0,7
General Election,JAN-MAR 2020,DUNGARPUR,ASPUR PANCHAYAT SAMITI,1,AASPUR,5,5,5,0,0,5
General Election,JAN-MAR 2020,DUNGARPUR,ASPUR PANCHAYAT SAMITI,2,AMRITIYA,4,4,4,0,0,4
General Election,JAN-MAR 2020,DUNGARPUR,ASPUR PANCHAYAT SAMITI,3,BADLIA,6,6,6,3,0,3
General Election,JAN-MAR 2020,DUNGARPUR,ASPUR PANCHAYAT SAMITI,4,BADODA,7,7,7,1,0,6
General Election,JAN-MAR 2020,DUNGARPUR,ASPUR PANCHAYAT SAMITI,5,BANKODA,4,4,4,1,0,3
General Election,JAN-MAR 2020,DUNGARPUR,ASPUR PANCHAYAT SAMITI,6,BHEWADI,8,8,8,3,0,5
General Election,JAN-MAR 2020,DUNGARPUR,ASPUR PANCHAYAT SAMITI,7,DEVLA,5,5,5,1,0,4
General Election,JAN-MAR 2020,DUNGARPUR,ASPUR PANCHAYAT SAMITI,8,DHANELA,5,5,5,2,0,3
General Election,JAN-MAR 2020,DUNGARPUR,ASPUR PANCHAYAT SAMITI,9,GALIYUANA,5,5,5,0,0,5
General Election,JAN-MAR 2020,DUNGARPUR,ASPUR PANCHAYAT SAMITI,10,GANESHPUR,5,5,5,1,0,4
General Election,JAN-MAR 2020,DUNGARPUR,ASPUR PANCHAYAT SAMITI,11,GOL,6,6,6,1,0,5
General Election,JAN-MAR 2020,DUNGARPUR,ASPUR PANCHAYAT SAMITI,12,INDODA,7,7,7,2,0,5
General Election,JAN-MAR 2020,DUNGARPUR,ASPUR PANCHAYAT SAMITI,13,KATISAUR,3,3,3,0,0,3
General Election,JAN-MAR 2020,DUNGARPUR,ASPUR PANCHAYAT SAMITI,14,KHALIL,2,2,2,0,0,2
General Election,JAN-MAR 2020,DUNGARPUR,ASPUR PANCHAYAT SAMITI,15,KHEDA AASPUR,2,2,2,0,0,2
General Election,JAN-MAR 2020,DUNGARPUR,ASPUR PANCHAYAT SAMITI,16,KHUDRADA,4,4,4,0,0,4
General Election,JAN-MAR 2020,DUNGARPUR,ASPUR PANCHAYAT SAMITI,17,KOTHADI,6,6,6,0,0,6
General Election,JAN-MAR 2020,DUNGARPUR,ASPUR PANCHAYAT SAMITI,18,LILAWASA,9,9,9,2,0,7
General Election,JAN-MAR 2020,DUNGARPUR,ASPUR PANCHAYAT SAMITI,19,MASSANA,14,14,14,3,0,11
General Election,JAN-MAR 2020,DUNGARPUR,ASPUR PANCHAYAT SAMITI,20,MOWAI,8,8,8,1,0,7
General Election,JAN-MAR 2020,DUNGARPUR,ASPUR PANCHAYAT SAMITI,21,NANDLI SAGODA,2,2,2,0,0,2
General Election,JAN-MAR 2020,DUNGARPUR,ASPUR PANCHAYAT SAMITI,22,NEPALPURA,8,8,8,2,0,6
General Election,JAN-MAR 2020,DUNGARPUR,ASPUR PANCHAYAT SAMITI,23,PARADIETAWAR,4,4,4,1,0,3
General Election,JAN-MAR 2020,DUNGARPUR,ASPUR PANCHAYAT SAMITI,24,PARDATHURA,23,23,23,6,0,17
General Election,JAN-MAR 2020,DUNGARPUR,ASPUR PANCHAYAT SAMITI,25,PUNJPUR,9,9,9,2,0,7
General Election,JAN-MAR 2020,DUNGARPUR,ASPUR PANCHAYAT SAMITI,26,RAMGARH,4,4,4,0,0,4
General Election,JAN-MAR 2020,DUNGARPUR,ASPUR PANCHAYAT SAMITI,27,RAYKI,4,4,4,0,0,4
General Election,JAN-MAR 2020,DUNGARPUR,ASPUR PANCHAYAT SAMITI,28,SAKANI,3,3,3,0,0,3
General Election,JAN-MAR 2020,DUNGARPUR,ASPUR PANCHAYAT SAMITI,29,TOKWASA,4,4,4,1,0,3
General Election,JAN-MAR 2020,DUNGARPUR,ASPUR PANCHAYAT SAMITI,30,VASUNDAR CHHOTI,3,3,3,0,0,3
General Election,JAN-MAR 2020,DUNGARPUR,ASPUR PANCHAYAT SAMITI,31,WADAGHODIA,6,6,6,0,0,6
General Election,JAN-MAR 2020,CHURU,RATANGARH PANCHAYAT SAMITI,1,ALSAR,4,4,4,2,0,2
