year,ward_no,candidate,party,party_local,votes,rank,source_path
2017,200,Jyotsna Rahul Dhumale Pawar,BJP,Bhartiya Janata Party,6926,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,200,SUVARNA SUNIT WAGHMARE,IND,Independent,1356,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,200,PAYAL RAJENDRA KHARE,BSP,Bahujan Samaj Party,447,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,200,ANITA SANJAY KAMBLE,NCP,Nationalist Congress Party,381,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,200,SUNITA MOHAN TUPASOUNDRYA,Bhartiya Shetkari Kamgar Paksh,Bhartiya Shetkari Kamgar Paksh,129,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,200,NOTA,,,686,,data/maharashtra/mumbai/mumbai_2017.csv
2017,201,Supriya Sunil More,INC,Indian National Congress,7406,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,201,IRAM SAJIDAHMED SIDDIQUE,SP,Samajwadi Party,4619,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,201,ASHWINI VIJAY DAREKAR,SS,Shivsena,3575,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,201,SHEHNAZ SIRAJAHMED MALIK,AIMIM,All India Majlis e Ittehadul Muslimeen,1826,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,201,Savita Vinod Saklave,BJP,Bhartiya Janata Party,1690,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,201,PUSHPA ANAND RANKHAMBE,MNS,Maharashtra Navnirman Sena,730,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,201,SHAMBHAVI HEMANT SAWANT,Republican Party of India (A),Republican Party of India (A),330,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,201,jyoti prakash jagtap,NCP,Nationalist Congress Party,203,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,201,RUBINA KHALID SIDDIQUE,IND,Independent,112,9,data/maharashtra/mumbai/mumbai_2017.csv
2017,201,NOTA,,,283,,data/maharashtra/mumbai/mumbai_2017.csv
2017,202,SHRADDHA SHRIDHAR JADHAV,SS,Shivsena,12032,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,202,_______ ______ _____,MNS,Maharashtra Navnirman Sena,4386,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,202,Riya Harishchandra Bavkar,INC,Indian National Congress,4329,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,202,VIJAYALAXMI NITESH PAWAR,BJP,Bhartiya Janata Party,3292,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,202,UMA SUNIL BHASKARAN,NCP,Nationalist Congress Party,986,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,202,MANASI MANAJI PARAB,IND,Independent,855,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,202,MANASI ARUN SAKPAL,Bharip Bahujan Mahasangh,Bharip Bahujan Mahasangh,454,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,202,Vandana Ramchandra Mane,Communist Party Of India,Communist Party Of India,413,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,202,NOTA,,,547,,data/maharashtra/mumbai/mumbai_2017.csv
2017,203,sindhu ravindranath Masurkar,SS,Shivsena,14541,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,203,TEJASWINI SANJAY AMBOLE,BJP,Bhartiya Janata Party,9622,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,203,POONAM ARUN DURGAVALE,MNS,Maharashtra Navnirman Sena,2061,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,203,VIDYA CHANDRASHEKHAR JANGAM,INC,Indian National Congress,1497,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,203,RESHMA SUDHIR BABRE,IND,Independent,262,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,203,bharati jagannath jadhav,NCP,Nationalist Congress Party,122,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,203,NOTA,,,618,,data/maharashtra/mumbai/mumbai_2017.csv
2017,204,ANIL SADASHIV KOKIL,SS,Shivsena,13411,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,204,ARUN DATTARAM DALVI,BJP,Bhartiya Janata Party,7300,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,204,SACHINDRA GANPAT DESAI,MNS,Maharashtra Navnirman Sena,2772,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,204,PRAKASH RAMKRISHNA SAWANT,INC,Indian National Congress,1420,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,204,SWAPNIL MADAN KHALE,BSP,Bahujan Samaj Party,144,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,204,NOTA,,,524,,data/maharashtra/mumbai/mumbai_2017.csv
2017,205,DATTARAM RAMBHAU PONGADE,SS,Shivsena,13859,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,205,VILAS SHRIPAT SAWANT,MNS,Maharashtra Navnirman Sena,6175,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,205,RAJENDRA MOHAN GHAG,BJP,Bhartiya Janata Party,2850,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,205,Umesh Raysing Yewale,NCP,Nationalist Congress Party,1064,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,205,GORAKH NIVRUTTI KANGANE,INC,Indian National Congress,1004,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,205,PRASAD NARAYAN GHAGARE,Communist Party Of India,Communist Party Of India,782,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,205,SANJAYKUMAR GYANPRAKASH MISHRA,IND,Independent,253,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,205,MAHENDRA SITARAM SATPUTE,bahujan republican sociolist party,bahujan republican sociolist party,237,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,205,RAJARAM GOVIND GAWADE,BSP,Bahujan Samaj Party,126,9,data/maharashtra/mumbai/mumbai_2017.csv
2017,205,Swaminath Namdev Masurkar,IND,Independent,100,10,data/maharashtra/mumbai/mumbai_2017.csv
2017,205,Sangeeta Tejkumar Shitole,Janata Dal Secular,Janata Dal Secular,86,11,data/maharashtra/mumbai/mumbai_2017.csv
2017,205,ashok mahipat kadam,IND,Independent,46,12,data/maharashtra/mumbai/mumbai_2017.csv
2017,205,NOTA,,,366,,data/maharashtra/mumbai/mumbai_2017.csv
2017,206,SACHIN DEVDAS PADWAL,SS,Shivsena,7225,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,206,RAMVACHAN SITARAM MURAI,INC,Indian National Congress,6262,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,206,VIJAY LAXMAN MHATRE,BJP,Bhartiya Janata Party,2602,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,206,CHETAN RAMESH PEDNEKAR,MNS,Maharashtra Navnirman Sena,1440,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,206,Shekhar Jagannath Mokal,IND,Independent,1397,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,206,NEEL NANDKUMAR SHIVDIKAR,NCP,Nationalist Congress Party,637,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,206,Isak Ismail Sangrar,IND,Independent,319,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,206,RAJENDRA KESHAV KALE,Communist Party Of India,Communist Party Of India,158,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,206,SANDIP BHIKAJI AGRE,BSP,Bahujan Samaj Party,138,9,data/maharashtra/mumbai/mumbai_2017.csv
2017,206,ANITA JIJABA BUDHWANT,bahujan republican sociolist party,bahujan republican sociolist party,131,10,data/maharashtra/mumbai/mumbai_2017.csv
2017,206,Prakash Sahadev Tukrul,IND,Independent,44,11,data/maharashtra/mumbai/mumbai_2017.csv
2017,206,DATTARAJ ARJUN GOLAR,IND,Independent,29,12,data/maharashtra/mumbai/mumbai_2017.csv
2017,206,NOTA,,,186,,data/maharashtra/mumbai/mumbai_2017.csv
2017,207,Surekha Rohidas Lokhande,BJP,Bhartiya Janata Party,6005,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,207,Asha Vasant Chavan,SS,Shivsena,5962,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,207,VANDANA PRADEEP GAWLI,Akhil Bharatiya Sena,Akhil Bharatiya Sena,5661,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,207,Shalaka Dilip Haryan,MNS,Maharashtra Navnirman Sena,2664,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,207,Shubhangi Shivaji Bhujbal,INC,Indian National Congress,1610,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,207,QURRATULAEN MOHDASLAM GHANCHI,AIMIM,All India Majlis e Ittehadul Muslimeen,1326,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,207,Surekha Charudatta Pednekar,NCP,Nationalist Congress Party,346,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,207,NANDA PRAKASH LOKHANDE,Bahujan Mukti Party,Bahujan Mukti Party,262,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,207,MALTI RAVINDRA PATIL,Bhartiya Sangram Parishad,Bhartiya Sangram Parishad,201,9,data/maharashtra/mumbai/mumbai_2017.csv
2017,207,SUNANDA CHANDRASHEKHAR KANADE,INC,Indian National Congress,130,10,data/maharashtra/mumbai/mumbai_2017.csv
2017,207,Khairunnisa MughalMehmoodAkbar Rajput,IND,Independent,43,11,data/maharashtra/mumbai/mumbai_2017.csv
2017,207,NOTA,,,357,,data/maharashtra/mumbai/mumbai_2017.csv
2017,208,Ramakant Sakharam Rahate,SS,Shivsena,8938,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,208,KIRAN SHANKAR TAKLE,MNS,Maharashtra Navnirman Sena,5002,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,208,UMARSHAD MOHAMMED KHAN,AIMIM,All India Majlis e Ittehadul Muslimeen,3888,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,208,RAKESH RAMDAS JEJURKAR,BJP,Bhartiya Janata Party,3502,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,208,Prasad Namdeo Ghadigaonkar,INC,Indian National Congress,1850,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,208,SUSHANT SUBHASH SHINDE,NCP,Nationalist Congress Party,928,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,208,PANKAJ VASANT KHARMALE,Sambhaji Brigade,Sambhaji Brigade,186,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,208,MohammedRafique Kalimullah Khan,IND,Independent,172,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,208,SUNIL DEWOO YADAV,BSP,Bahujan Samaj Party,119,9,data/maharashtra/mumbai/mumbai_2017.csv
2017,208,Akbar Ali Abdul Quddus Shah,Bhartiya Minorities Suraksha Mahasangh,Bhartiya Minorities Suraksha Mahasangh,87,10,data/maharashtra/mumbai/mumbai_2017.csv
2017,208,MohammadHanif Ayub Khan,SP,Samajwadi Party,71,11,data/maharashtra/mumbai/mumbai_2017.csv
2017,208,MOHAMMEDINTEKHAB MOHAMMEDSAMI KHAN,IND,Independent,39,12,data/maharashtra/mumbai/mumbai_2017.csv
2017,208,NOTA,,,335,,data/maharashtra/mumbai/mumbai_2017.csv
2017,209,YASHWANT KAMLAKAR JADHAV,SS,Shivsena,4884,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,209,MANZURHASAN ABDULLATIF BAGHDADI,INC,Indian National Congress,3853,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,209,Kantilal Popatlal Sangoi,BJP,Bhartiya Janata Party,1953,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,209,MATEEN AALI NAIK,AIMIM,All India Majlis e Ittehadul Muslimeen,1760,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,209,SANTOSH ALFRED DSOUZA,Akhil Bharatiya Sena,Akhil Bharatiya Sena,1607,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,209,ANIL TUKARAM WAJE,IND,Independent,1225,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,209,Nitin Dnyandeo Shete,NCP,Nationalist Congress Party,1129,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,209,SUSHIL CHANDRAKANT SAWANT,MNS,Maharashtra Navnirman Sena,910,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,209,Abdulmatin Shamsuddin Khan,SP,Samajwadi Party,436,9,data/maharashtra/mumbai/mumbai_2017.csv
2017,209,shyambihari ramnaresh dubey,BSP,Bahujan Samaj Party,189,10,data/maharashtra/mumbai/mumbai_2017.csv
2017,209,Irfan Umar Mukadam,IND,Independent,132,11,data/maharashtra/mumbai/mumbai_2017.csv
2017,209,MAHESH CHANDRAKANT CHAVAN,IND,Independent,104,12,data/maharashtra/mumbai/mumbai_2017.csv
2017,209,TANVEERALAM SHAMEEMAHMED KHAN,Bharip Bahujan Mahasangh,Bharip Bahujan Mahasangh,71,13,data/maharashtra/mumbai/mumbai_2017.csv
2017,209,NIKHAT NISAR SHAIKH,IND,Independent,56,14,data/maharashtra/mumbai/mumbai_2017.csv
2017,209,NOTA,,,247,,data/maharashtra/mumbai/mumbai_2017.csv
2017,210,SONAM MANOJ JAMSUTKAR,INC,Indian National Congress,9589,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,210,YAMINI YASHWANT JADHAV,SS,Shivsena,7327,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,210,SHUBHANGI SUGATPRIYA SHINDE,Republican Party of India (A),Republican Party of India (A),3379,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,210,POONAM RAGHUNATH VENGURLEKAR,MNS,Maharashtra Navnirman Sena,671,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,210,SRUSHTI PRAVIN PAWAR,BSP,Bahujan Samaj Party,334,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,210,SWATI DILIP SATHE,NCP,Nationalist Congress Party,311,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,210,NOTA,,,807,,data/maharashtra/mumbai/mumbai_2017.csv
2017,211,Rais Kasam Shaikh,SP,Samajwadi Party,9455,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,211,MASIRAH AIJAZAHMED KHAN,INC,Indian National Congress,7081,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,211,MohammedAdil MobinAhmed Qureshi,AIMIM,All India Majlis e Ittehadul Muslimeen,3420,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,211,Rohidas Madhukar Lokhande,BJP,Bhartiya Janata Party,761,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,211,Rohit Shridhar Rahate,SS,Shivsena,714,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,211,AYAZAHMED ABDULRASHID ANSARI,IND,Independent,124,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,211,NOTA,,,217,,data/maharashtra/mumbai/mumbai_2017.csv
2017,212,GEETA AJAY GAVLI,Akhil Bharatiya Sena,Akhil Bharatiya Sena,9028,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,212,Nazia MohammadAshfaque Siddique,INC,Indian National Congress,5709,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,212,Sonal Ajay Saigaonkar,SS,Shivsena,2148,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,212,Noorsaba MohammedYusuf Chawdhary,AIMIM,All India Majlis e Ittehadul Muslimeen,1918,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,212,MANDAKINI MANSING KHAMKAR,BJP,Bhartiya Janata Party,1124,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,212,RUKHSANA MOHAMMEDSAEED MOMIN,SP,Samajwadi Party,771,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,212,NOTA,,,290,,data/maharashtra/mumbai/mumbai_2017.csv
2017,213,Javed Ibrahim Juneja,INC,Indian National Congress,7205,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,213,SUNIL DIGAMBER KADAM,SS,Shivsena,5293,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,213,Wasim Masood Syed,SP,Samajwadi Party,4338,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,213,VINAYKUMAR DINANATH TRIPATHI,BJP,Bhartiya Janata Party,2158,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,213,MohdNoman RayeenNizamuddin Rayeen,AIMIM,All India Majlis e Ittehadul Muslimeen,2112,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,213,RAMESH BALAYYA RAPELLI,IND,Independent,928,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,213,VINOD PARSHURAM ARGILE,MNS,Maharashtra Navnirman Sena,547,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,213,RAJESH RAMCHANDRA BANIYA,NCP,Nationalist Congress Party,327,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,213,SACHIN MANOHAR DIWAR,Republican Party of India (A),Republican Party of India (A),117,9,data/maharashtra/mumbai/mumbai_2017.csv
2017,213,Santosh Gendalal Shahu,IND,Independent,59,10,data/maharashtra/mumbai/mumbai_2017.csv
2017,213,AbdulKalam FakirMohammad Shaikh,Peace Party,Peace Party,40,11,data/maharashtra/mumbai/mumbai_2017.csv
2017,213,NAJIR HAMEED KHAN,Indian Union Muslim League,Indian Union Muslim League,40,11,data/maharashtra/mumbai/mumbai_2017.csv
2017,213,Yawarali Yusufal Kazi,IND,Independent,38,12,data/maharashtra/mumbai/mumbai_2017.csv
2017,213,MOHDNAEEM ZAINULABDIN ANSARI,IND,Independent,25,13,data/maharashtra/mumbai/mumbai_2017.csv
2017,213,SEEMLA BEEMBAHADUR TAMANG,Janata Dal Secular,Janata Dal Secular,19,14,data/maharashtra/mumbai/mumbai_2017.csv
2017,213,NOTA,,,126,,data/maharashtra/mumbai/mumbai_2017.csv
2017,214,SARITA AJAY PATIL,BJP,Bhartiya Janata Party,13859,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,214,Arvind Jagannnath Bane,SS,Shivsena,8393,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,214,KAUSHIK JASVANTRAI SHAH,INC,Indian National Congress,2668,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,214,Dhanraj Sahadev Naik,MNS,Maharashtra Navnirman Sena,460,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,214,Amool Shivaji Rokade,IND,Independent,207,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,214,Tushar Bhaskar Prabhoo,IND,Independent,198,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,214,Shobha Arvind Kamble,IND,Independent,60,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,214,RAJESH JOTIRAM SHINDE,IND,Independent,36,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,214,SHANKAR GANGADHAR SONAWANE,IND,Independent,19,9,data/maharashtra/mumbai/mumbai_2017.csv
2017,214,NOTA,,,536,,data/maharashtra/mumbai/mumbai_2017.csv
2017,215,Arundhati Arvind Dudhwadkar,SS,Shivsena,10215,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,215,Shweta Rupesh Manjrekar,BJP,Bhartiya Janata Party,9800,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,215,LALITA BIPIN MAHIDA,INC,Indian National Congress,2765,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,215,Saroj Satish Babar,MNS,Maharashtra Navnirman Sena,831,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,215,Nisha Gautam Dharia,SP,Samajwadi Party,154,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,215,Shanta Premji Rathod,IND,Independent,63,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,215,NOTA,,,423,,data/maharashtra/mumbai/mumbai_2017.csv
2017,216,RAJENDRA DATTATRAYA NARWANKAR,INC,Indian National Congress,8541,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,216,RAMESH SHRIRAM NAIK,BJP,Bhartiya Janata Party,5125,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,216,RAJESH VASNAT AVALEGAONKAR,SS,Shivsena,2749,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,216,Nasir Muhammadiqbal Qureshi,AIMIM,All India Majlis e Ittehadul Muslimeen,2597,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,216,SUNNY RAVINDRA SANAP,MNS,Maharashtra Navnirman Sena,1137,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,216,SUNIL KARBHARI PALVE,NCP,Nationalist Congress Party,903,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,216,NOTA,,,273,,data/maharashtra/mumbai/mumbai_2017.csv
2017,217,Minal Ruchit Patel,BJP,Bhartiya Janata Party,13623,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,217,Yugandhara Yashwant Salekar,SS,Shivsena,6282,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,217,Manisha Yogesh Patel,INC,Indian National Congress,3249,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,217,Chandrika Trimbak Avhad,MNS,Maharashtra Navnirman Sena,1230,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,217,NOTA,,,655,,data/maharashtra/mumbai/mumbai_2017.csv
2017,218,Anuradha Vijay Potdar,BJP,Bhartiya Janata Party,15289,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,218,Minal Pravin Juwatkar,SS,Shivsena,9894,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,218,SUMITRA MAHESH HIRLEKAR,MNS,Maharashtra Navnirman Sena,1527,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,218,Vaishali Suresh Tupat,INC,Indian National Congress,1253,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,218,NOTA,,,602,,data/maharashtra/mumbai/mumbai_2017.csv
2017,219,Jyotsna Devesh Mehta,BJP,Bhartiya Janata Party,15361,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,219,PRITI PRAMOD MANDREKAR,INC,Indian National Congress,5456,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,219,Durga Kiran Shinde,SS,Shivsena,4095,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,219,Parul Rajendra Kamble,NCP,Nationalist Congress Party,111,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,219,NOTA,,,546,,data/maharashtra/mumbai/mumbai_2017.csv
2017,220,ATUL HASMUKHLAL SHAH,BJP,Bhartiya Janata Party,5946,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,220,Surendra Ramkrishna Bagalkar,SS,Shivsena,5946,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,220,NARESHBHAI RAKSHANJI SHETH,INC,Indian National Congress,5358,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,220,Zeeshan Hamid Shaikh,AIMIM,All India Majlis e Ittehadul Muslimeen,1257,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,220,RUPESH MAHENDRA KHANDKE,NCP,Nationalist Congress Party,971,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,220,HUZAIFA ISMAIL ELECTRICWALA,SP,Samajwadi Party,923,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,220,ZOEB AHMEDALI BOOTWALA,IND,Independent,789,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,220,KESHAV RAMESH MULAY,MNS,Maharashtra Navnirman Sena,752,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,220,yusufi taher rangwala,IND,Independent,68,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,220,MONA RAJ SHETH,Akhil Bharatiya Sena,Akhil Bharatiya Sena,51,9,data/maharashtra/mumbai/mumbai_2017.csv
2017,220,NOTA,,,328,,data/maharashtra/mumbai/mumbai_2017.csv
2017,221,AKASH RAJ PUROHIT,BJP,Bhartiya Janata Party,6722,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,221,JANAK JITENDRA SANGHVI,INC,Indian National Congress,4853,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,221,NISARAHMED CHAND SHAIKH,AIMIM,All India Majlis e Ittehadul Muslimeen,4091,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,221,kanhaiyalal himmatram rawal,SS,Shivsena,3515,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,221,Mahendra Jaysingh Pansare,NCP,Nationalist Congress Party,793,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,221,MOHAMMEDRAMZAN SHAIKHMOHAMMED SORATHIA,SP,Samajwadi Party,339,6,data/maharashtra/mumbai/mumbai_2017.csv
2017,221,Ranjeet Harendra Dutta,IND,Independent,110,7,data/maharashtra/mumbai/mumbai_2017.csv
2017,221,______ ______ ______,MNS,Maharashtra Navnirman Sena,54,8,data/maharashtra/mumbai/mumbai_2017.csv
2017,221,YAMEEN BASHIR QURESHI,IND,Independent,42,9,data/maharashtra/mumbai/mumbai_2017.csv
2017,221,abdullatif abdulkadar shaikh,IND,Independent,25,10,data/maharashtra/mumbai/mumbai_2017.csv
2017,221,FAISAL YUSUF BANARASWALA,IND,Independent,21,11,data/maharashtra/mumbai/mumbai_2017.csv
2017,221,mateenahmed niyajahamad rangrej,IND,Independent,19,12,data/maharashtra/mumbai/mumbai_2017.csv
2017,221,MOHAMMEDUMER ABDULSAMAD KHAN,IND,Independent,16,13,data/maharashtra/mumbai/mumbai_2017.csv
2017,221,Pravin Girdharlal Tanna,IND,Independent,16,13,data/maharashtra/mumbai/mumbai_2017.csv
2017,221,Sudhir Dattatray Dhamnaskar,IND,Independent,13,14,data/maharashtra/mumbai/mumbai_2017.csv
2017,221,Anwarali Yawarali Kazi,IND,Independent,11,15,data/maharashtra/mumbai/mumbai_2017.csv
2017,221,NOTA,,,202,,data/maharashtra/mumbai/mumbai_2017.csv
2017,222,RITA BHARAT MAKWANA,BJP,Bhartiya Janata Party,10365,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,222,meena shekhar kambli,SS,Shivsena,8362,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,222,VINITI SADANAND KHEDEKAR,INC,Indian National Congress,3231,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,222,Priti Shekhar GawanePatel,MNS,Maharashtra Navnirman Sena,1958,4,data/maharashtra/mumbai/mumbai_2017.csv
2017,222,Chandrakala Radheshyam Choudhary,NCP,Nationalist Congress Party,490,5,data/maharashtra/mumbai/mumbai_2017.csv
2017,222,NOTA,,,652,,data/maharashtra/mumbai/mumbai_2017.csv
2017,223,NIKITA DNYANRAJ NIKAM,INC,Indian National Congress,8634,1,data/maharashtra/mumbai/mumbai_2017.csv
2017,223,Asha Parmesh mamidi,SS,Shivsena,5442,2,data/maharashtra/mumbai/mumbai_2017.csv
2017,223,VAKARUNISA JAHID HUSSAIN ANSARI,AIMIM,All India Majlis e Ittehadul Muslimeen,4887,3,data/maharashtra/mumbai/mumbai_2017.csv
2017,223,NedaFathima ShahidAhmed Shaikh,SP,Samajwadi Party,1376,4,data/maharashtra/mumbai/mumbai_2017.csv
