Candidate,Party Name ,Ward Number,Constituency Name,Votes Polled,Election Outcome,Reservation Status,Real Assets,Real Liabilities,Asset Error,My Neta Criminal Cases,Ward Number,Direction,Age,Marital Status,Dependents,Other Dependents,PAN ,Returns Filed,Spouse PAN,Spouse Returns Filed,Pending Criminal Cases(Affidavit),Convictions,Spouse Assets,Occupation,Spouse Occupation,EDUCATION,Number of  Voters,Votes Polled ,percentage polled,percent of Votes Polled,percent  of Total Votes,
Radha Raman Mittal,NCP,89,Paharganj (G),343,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.73,0.82,
Sat Pal,IND,89,Paharganj (G),327,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.65,0.78,
Sukh  Chand Tiwari,IND,89,Paharganj (G),172,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.87,0.41,
Rajesh Kumar Sharma,IND,89,Paharganj (G),115,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.58,0.28,
Jasvir Singh Bammi,IND,89,Paharganj (G),88,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.44,0.21,
Ashish Kumar Tomar,IND,89,Paharganj (G),70,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.35,0.17,
Vijay,INLD,89,Paharganj (G),62,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.31,0.15,
Rajender,IND,89,Paharganj (G),29,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.07,
Hemant  Shukla,IND,89,Paharganj (G),24,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.12,0.06,
Amit  Kumar Mittal,IND,89,Paharganj (G),21,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.05,
Rakesh  Sharma,IND,89,Paharganj (G),21,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.05,
Anil Kumar Maggo,IND,89,Paharganj (G),13,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.07,0.03,
Nirmal,BJP,90,Model Basti (SCW),7603,winner,Scheduled Caste-Women,,,,,,,,,,,,,,,,,,,,,38208,15755,41.23,48.26,19.9,
Lalita,INC,90,Model Basti (SCW),6842,Lost,Scheduled Caste-Women,,,,,,,,,,,,,,,,,,,,,,,,43.43,17.91,
Sangam,BSP,90,Model Basti (SCW),1011,Lost,Scheduled Caste-Women,,,,,,,,,,,,,,,,,,,,,,,,6.42,2.65,
Sharda,INLD,90,Model Basti (SCW),188,Lost,Scheduled Caste-Women,,,,,,,,,,,,,,,,,,,,,,,,1.19,0.49,
Kamla Devi,IND,90,Model Basti (SCW),111,Lost,Scheduled Caste-Women,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.29,
Mandeep Kaur,BJP,91,Karol Bagh (W),8773,winner,Women,,,,,,,,,,,,,,,,,,,,,45690,17201,37.65,51,19.2,
Goldy Vinayak,INC,91,Karol Bagh (W),5861,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,34.07,12.83,
Anshu,BSP,91,Karol Bagh (W),2307,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,13.41,5.05,
Sneh Datta,IND,91,Karol Bagh (W),165,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,0.96,0.36,
Shalini Pathak,INLD,91,Karol Bagh (W),95,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,0.55,0.21,
Yogender Chandolia,BJP,92,Dev Nagar (SC),11453,winner,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,41198,18076,43.88,63.36,27.8,
Nar Singh,INC,92,Dev Nagar (SC),4207,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,23.27,10.21,
Parmod Kumar,BSP,92,Dev Nagar (SC),1625,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,8.99,3.94,
Chain Sukh,NCP,92,Dev Nagar (SC),355,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,1.96,0.86,
Surinder Kumar,IND,92,Dev Nagar (SC),329,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,1.82,0.8,
Purshotam Dass,INLD,92,Dev Nagar (SC),107,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,0.59,0.26,
Poornima Vidyarthi,BJP,93,Baljit Nagar (SCW),5829,winner,Scheduled Caste-Women,,,,,,,,,,,,,,,,,,,,,36898,13461,36.48,43.3,15.8,
Rajni Chaudhary,INC,93,Baljit Nagar (SCW),5500,Lost,Scheduled Caste-Women,,,,,,,,,,,,,,,,,,,,,,,,40.86,14.91,
Raj Rani Pawar,BSP,93,Baljit Nagar (SCW),1775,Lost,Scheduled Caste-Women,,,,,,,,,,,,,,,,,,,,,,,,13.19,4.81,
Ms Asha,SS,93,Baljit Nagar (SCW),137,Lost,Scheduled Caste-Women,,,,,,,,,,,,,,,,,,,,,,,,1.02,0.37,
Ms Santosh Devi,NCP,93,Baljit Nagar (SCW),132,Lost,Scheduled Caste-Women,,,,,,,,,,,,,,,,,,,,,,,,0.98,0.36,
Panku Devi,IND,93,Baljit Nagar (SCW),88,Lost,Scheduled Caste-Women,,,,,,,,,,,,,,,,,,,,,,,,0.65,0.24,
Dr. Bhim Singh Sharma,BJP,94,West Patel Nagar (G),8154,winner,,,,,,,,,,,,,,,,,,,,,,41696,17321,41.54,47.08,19.56,
Jasbir Kaur,INC,94,West Patel Nagar (G),4682,Lost,,,,,,,,,,,,,,,,,,,,,,,,,27.03,11.23,
Murtza Fool,BSP,94,West Patel Nagar (G),2021,Lost,,,,,,,,,,,,,,,,,,,,,,,,,11.67,4.85,
Satya Prakash,INLD,94,West Patel Nagar (G),891,Lost,,,,,,,,,,,,,,,,,,,,,,,,,5.14,2.14,
Parwati,IND,94,West Patel Nagar (G),409,Lost,,,,,,,,,,,,,,,,,,,,,,,,,2.36,0.98,
Dilip Kumar,LJP,94,West Patel Nagar (G),324,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.87,0.78,
Arvind Kumar,IND,94,West Patel Nagar (G),222,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.28,0.53,
Puran Singh,IND,94,West Patel Nagar (G),210,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.21,0.5,
Sanjeet Kumar,IND,94,West Patel Nagar (G),141,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.81,0.34,
Kanhaya  Prasad,IND,94,West Patel Nagar (G),80,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.46,0.19,
Mahender Kumar,RJD,94,West Patel Nagar (G),73,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.42,0.18,
Amreek Singh,NCP,94,West Patel Nagar (G),63,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.36,0.15,
Sada Anand,IND,94,West Patel Nagar (G),51,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.29,0.12,
Tulsi Ram Sablania,INC,95,East Patel Nagar (SC),5958,winner,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,41423,14911,36,39.96,14.38,
Sh. Ved Prakash,BJP,95,East Patel Nagar (SC),5717,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,38.34,13.8,
Sh. Pritam Singh,INLD,95,East Patel Nagar (SC),1616,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,10.84,3.9,
Sh Kishan Lal,IND,95,East Patel Nagar (SC),808,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,5.42,1.95,
Sh. VIJAY KUMAR,BSP,95,East Patel Nagar (SC),621,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,4.16,1.5,
Sh. Daya Nand,IND,95,East Patel Nagar (SC),191,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,1.28,0.46,
Gulshan Bhatia,BJP,96,New Ranjit Nagar (G),7249,winner,,,,,,,,,,,,,,,,,,,,,,40728,17198,42.23,42.15,17.8,
Mange Ram  Tanwar,INC,96,New Ranjit Nagar (G),5020,Lost,,,,,,,,,,,,,,,,,,,,,,,,,29.19,12.33,
Sh. Subhash Kumar,BSP,96,New Ranjit Nagar (G),2072,Lost,,,,,,,,,,,,,,,,,,,,,,,,,12.05,5.09,
Sh Harvinder Kumar,SS,96,New Ranjit Nagar (G),893,Lost,,,,,,,,,,,,,,,,,,,,,,,,,5.19,2.19,
Kasturi  Lal  Trehan,INLD,96,New Ranjit Nagar (G),752,Lost,,,,,,,,,,,,,,,,,,,,,,,,,4.37,1.85,
Daya Nand,IND,96,New Ranjit Nagar (G),542,Lost,,,,,,,,,,,,,,,,,,,,,,,,,3.15,1.33,
Vinay Kumar Bassi,NCP,96,New Ranjit Nagar (G),235,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.37,0.58,
Shameena,IND,96,New Ranjit Nagar (G),208,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.21,0.51,
Arvinder  Pal Singh,IND,96,New Ranjit Nagar (G),91,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.53,0.22,
Prem Prakash,IND,96,New Ranjit Nagar (G),73,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.42,0.18,
R.P. Sharma,IND,96,New Ranjit Nagar (G),63,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.37,0.15,
Usha Mehta,BJP,97,Kirti Nagar (W),7868,winner,Women,,,,,,,,,,,,,,,,,,,,,39528,17943,45.39,43.85,19.9,Harnidh
Sumiti  Maggo,INC,97,Kirti Nagar (W),5429,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,30.26,13.73,
Sandhya  Wadhwa,INLD,97,Kirti Nagar (W),2030,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,11.31,5.14,
Satwant  Kaur,IND,97,Kirti Nagar (W),1175,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,6.55,2.97,
Geeta Devi,BSP,97,Kirti Nagar (W),986,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,5.5,2.49,
Raj Laxmi,IND,97,Kirti Nagar (W),325,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,1.81,0.82,
Anupriya Khurana,NCP,97,Kirti Nagar (W),59,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,0.33,0.15,
Roopa Khurana,IND,97,Kirti Nagar (W),38,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,0.21,0.1,
Motiya Rani Lamba,IND,97,Kirti Nagar (W),33,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.08,
Raj Kumar Khurana,BJP,98,Mansarovar Garden (G),6086,winner,,,,,,,,,,,,,,,,,,,,,,28794,13391,46.51,45.45,21.14,
Ramesh Popli,INC,98,Mansarovar Garden (G),3917,Lost,,,,,,,,,,,,,,,,,,,,,,,,,29.25,13.6,
Shyam Bir,BSP,98,Mansarovar Garden (G),1316,Lost,,,,,,,,,,,,,,,,,,,,,,,,,9.83,4.57,
Nand Kisore Jaggi,NCP,98,Mansarovar Garden (G),925,Lost,,,,,,,,,,,,,,,,,,,,,,,,,6.91,3.21,
Ishank Gaur,IND,98,Mansarovar Garden (G),806,Lost,,,,,,,,,,,,,,,,,,,,,,,,,6.02,2.8,
Rakesh Pandey,IND,98,Mansarovar Garden (G),252,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.88,0.88,
Sunil  Kaushhik,IND,98,Mansarovar Garden (G),50,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.37,0.17,
Shriman Yadav,IND,98,Mansarovar Garden (G),39,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.29,0.14,
Ved Prakash Gupta,BJP,99,Moti Nagar (G),7995,winner,,,,,,,,,,,,,,,,,,,,,,39128,19177,49.01,41.69,20.43,
Rajinder Singh,INLD,99,Moti Nagar (G),5499,Lost,,,,,,,,,,,,,,,,,,,,,,,,,28.67,14.05,
Om Prakash Goel,INC,99,Moti Nagar (G),4415,Lost,,,,,,,,,,,,,,,,,,,,,,,,,23.02,11.28,
Nand Kishore,IND,99,Moti Nagar (G),986,Lost,,,,,,,,,,,,,,,,,,,,,,,,,5.14,2.52,
Sh. Vikas Gupta,RJD,99,Moti Nagar (G),147,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.77,0.38,
Subash Gupta,IND,99,Moti Nagar (G),44,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.23,0.11,
Om Prakash Gupta,IND,99,Moti Nagar (G),43,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.22,0.11,
Gurvinder Singh,IND,99,Moti Nagar (G),28,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.07,
Mamta Joshi,INC,100,Karampura (W),8228,winner,Women,,,,,,,,,,,,,,,,,,,,,35707,16885,47.29,48.73,23.04,
Suruchi,BJP,100,Karampura (W),6114,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,36.21,17.12,
Prabha Bhardwaj,IND,100,Karampura (W),893,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,5.29,2.5,
Saraswati Rawat,IND,100,Karampura (W),336,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,1.99,0.94,
Filumina Cardoza,CPI,100,Karampura (W),321,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,1.9,0.9,
Kamla Sharma,INLD,100,Karampura (W),320,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,1.9,0.9,
Sabana Khatoon,IND,100,Karampura (W),291,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,1.72,0.81,
Neelam Sharma,SS,100,Karampura (W),188,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,1.11,0.53,
Anita Bhardwaj,IND,100,Karampura (W),70,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,0.41,0.2,
Charanjit Kaur,IND,100,Karampura (W),49,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,0.29,0.14,
Har Raman Kaur,NCP,100,Karampura (W),42,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,0.25,0.12,
Manju Bhatia,IND,100,Karampura (W),23,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.06,
Archana  Gautam,IND,100,Karampura (W),10,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.03,
Ram Phal Tyagi,INC,101,Raja Garden (G),7045,winner,,,,,,,,,,,,,,,,,,,,,,40581,18557,45.73,37.96,17.36,
Bansi Lal Khurana,INLD,101,Raja Garden (G),5931,Lost,,,,,,,,,,,,,,,,,,,,,,,,,31.96,14.62,
Hartirath Singh,BJP,101,Raja Garden (G),4872,Lost,,,,,,,,,,,,,,,,,,,,,,,,,26.25,12.01,
Harjinder Singh(Happy),IND,101,Raja Garden (G),601,Lost,,,,,,,,,,,,,,,,,,,,,,,,,3.24,1.48,
Paramjit Singh,IND,101,Raja Garden (G),108,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.58,0.27,
Urmila,BJP,102,Raghubir Nagar (SCW),6670,winner,Scheduled Caste-Women,,,,,,,,,,,,,,,,,,,,,34898,14363,41.16,365.9,19.11,
Raj Rani,INC,102,Raghubir Nagar (SCW),6017,Lost,Scheduled Caste-Women,,,,,,,,,,,,,,,,,,,,,,,,41.89,17.24,
Kiran,BSP,102,Raghubir Nagar (SCW),870,Lost,Scheduled Caste-Women,,,,,,,,,,,,,,,,,,,,,,,,6.06,2.49,
Meera Devi,IND,102,Raghubir Nagar (SCW),517,Lost,Scheduled Caste-Women,,,,,,,,,,,,,,,,,,,,,,,,3.6,1.48,
Suman Lata,JD(U),102,Raghubir Nagar (SCW),181,Lost,Scheduled Caste-Women,,,,,,,,,,,,,,,,,,,,,,,,1.26,0.52,
Sangita,IND,102,Raghubir Nagar (SCW),108,Lost,Scheduled Caste-Women,,,,,,,,,,,,,,,,,,,,,,,,0.75,0.31,
Manjinder Singh Sirsa,BJP,103,Punjabi Bagh (G),6629,winner,,,,,,,,,,,,,,,,,,,,,,33975,15822,46.57,41.9,19.51,
Yogender Singh(YOGI),INC,103,Punjabi Bagh (G),4614,Lost,,,,,,,,,,,,,,,,,,,,,,,,,29.16,13.58,
Sadhan Singh Yadav,IND,103,Punjabi Bagh (G),2087,Lost,,,,,,,,,,,,,,,,,,,,,,,,,13.19,6.14,
Kamal Kalra,BSP,103,Punjabi Bagh (G),1231,Lost,,,,,,,,,,,,,,,,,,,,,,,,,7.78,3.62,
Tejpal Singh,INLD,103,Punjabi Bagh (G),646,Lost,,,,,,,,,,,,,,,,,,,,,,,,,4.08,1.9,
Babu Lal Mangla,IND,103,Punjabi Bagh (G),549,Lost,,,,,,,,,,,,,,,,,,,,,,,,,3.47,1.62,
Anita Duggal,IND,103,Punjabi Bagh (G),66,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.42,0.19,
Harish Kumar,INC,104,Madipur (SC),6386,winner,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,32529,15790,48.54,40.44,19.63,
Dharam Pal Atal,BJP,104,Madipur (SC),4756,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,30.12,14.62,
Khajan Singh Barolia,BSP,104,Madipur (SC),4135,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,26.19,12.71,
Madan,IND,104,Madipur (SC),289,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,1.83,0.89,
Bhagwan Dass Sonkar,IND,104,Madipur (SC),224,Lost,Scheduled Caste,,,,,,,,,,,,,,,,,,,,,,,,1.42,0.69,
Shashi Talwar,BJP,105,Rajouri Garden (W),8693,winner,Women,,,,,,,,,,,,,,,,,,,,,36908,13076,35.43,66.48,23.55,
Madhu,INC,105,Rajouri Garden (W),4383,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,33.52,11.88,
Devender Mohan Katyal,BJP,106,Tagore Garden (G),3852,winner,,,,,,,,,,,,,,,,,,,,,,24027,11305,47.05,34.07,16.03,
Ashok Vohra,INC,106,Tagore Garden (G),3252,Lost,,,,,,,,,,,,,,,,,,,,,,,,,28.77,13.53,
Sunil Kumar Chaddha,INLD,106,Tagore Garden (G),2210,Lost,,,,,,,,,,,,,,,,,,,,,,,,,19.55,9.2,
Narender Kumar,IND,106,Tagore Garden (G),722,Lost,,,,,,,,,,,,,,,,,,,,,,,,,6.39,3,
Ramesh Yadav,NCP,106,Tagore Garden (G),658,Lost,,,,,,,,,,,,,,,,,,,,,,,,,5.82,2.74,
Bhopal Singh,BSP,106,Tagore Garden (G),352,Lost,,,,,,,,,,,,,,,,,,,,,,,,,3.11,1.47,
Ram Ji Lal,IND,106,Tagore Garden (G),139,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.23,0.58,
Rajesh Babbar,IND,106,Tagore Garden (G),100,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.88,0.42,
Ashish,IND,106,Tagore Garden (G),20,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.08,
A. Meg Raj Chandila A,JMM,107,Vishnu Garden (G),4189,winner,,,,,,,,,,,,,,,,,,,,,,37409,17871,47.77,23.44,11.2,
Raj Kumar Grover,BJP,107,Vishnu Garden (G),3436,Lost,,,,,,,,,,,,,,,,,,,,,,,,,19.23,9.18,
Om Parkash,IND,107,Vishnu Garden (G),2772,Lost,,,,,,,,,,,,,,,,,,,,,,,,,15.51,7.41,
Vinod Sharma,IND,107,Vishnu Garden (G),2728,Lost,,,,,,,,,,,,,,,,,,,,,,,,,15.26,7.29,
Gurjit Singh,INC,107,Vishnu Garden (G),2603,Lost,,,,,,,,,,,,,,,,,,,,,,,,,14.57,6.96,
Gopal Dubey,IND,107,Vishnu Garden (G),608,Lost,,,,,,,,,,,,,,,,,,,,,,,,,3.4,1.63,
Phool Chand,NCP,107,Vishnu Garden (G),473,Lost,,,,,,,,,,,,,,,,,,,,,,,,,2.65,1.26,
Vinay Kumar,IND,107,Vishnu Garden (G),408,Lost,,,,,,,,,,,,,,,,,,,,,,,,,2.28,1.09,
Rinkesh,SP,107,Vishnu Garden (G),343,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.92,0.92,
Ravinder kumar,BSP,107,Vishnu Garden (G),243,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.36,0.65,
Khajani Devi,IND,107,Vishnu Garden (G),68,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.38,0.18,
A.Meenakshi  Chandila A,JMM,108,Khyala (W),9046,winner,Women,,,,,,,,,,,,,,,,,,,,,43474,17694,40.7,51.12,20.81,
Rajesh Devi,INC,108,Khyala (W),4246,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,24,9.77,
Rajender Kaur,BJP,108,Khyala (W),3194,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,18.05,7.35,
Mem Wati,BSP,108,Khyala (W),1013,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,5.73,2.33,
Rajendri,IND,108,Khyala (W),195,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,1.1,0.45,
S.P. Sharma,BJP,109,Janakpuri North (G),7099,winner,,,,,,,,,,,,,,,,,,,,,,39561,17223,43.54,41.22,17.94,
Anil Atrey,INC,109,Janakpuri North (G),3795,Lost,,,,,,,,,,,,,,,,,,,,,,,,,22.03,9.59,
Karamvir,INLD,109,Janakpuri North (G),2488,Lost,,,,,,,,,,,,,,,,,,,,,,,,,14.45,6.29,
Sarvesh Mahajan,IND,109,Janakpuri North (G),1529,Lost,,,,,,,,,,,,,,,,,,,,,,,,,8.88,3.86,
Mahender Kumar,IND,109,Janakpuri North (G),1483,Lost,,,,,,,,,,,,,,,,,,,,,,,,,8.61,3.75,
Amir Chand,IND,109,Janakpuri North (G),508,Lost,,,,,,,,,,,,,,,,,,,,,,,,,2.95,1.28,
Prem Ji,BSP,109,Janakpuri North (G),186,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.08,0.47,
Rajender Singh,IND,109,Janakpuri North (G),92,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.53,0.23,
Vinod Vohra,IND,109,Janakpuri North (G),43,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.25,0.11,
Avtar Singh,BJP,110,Nangal Raya (G),5911,winner,,,,,,,,,,,,,,,,,,,,,,35523,15974,44.97,37,16.64,Harnidh
Sh. Chander Prakash,INC,110,Nangal Raya (G),4647,Lost,,,,,,,,,,,,,,,,,,,,,,,,,29.09,13.08,
Sh. Om Prakash,IND,110,Nangal Raya (G),4038,Lost,,,,,,,,,,,,,,,,,,,,,,,,,25.28,11.37,
SH. Ashwani Kumar,NCP,110,Nangal Raya (G),585,Lost,,,,,,,,,,,,,,,,,,,,,,,,,3.66,1.65,
Sh. Kaushal Sharma,BSP,110,Nangal Raya (G),291,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.82,0.82,
Sh. Daya Chand,IND,110,Nangal Raya (G),189,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.18,0.53,
Sh.Anand Sharma,INLD,110,Nangal Raya (G),130,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.81,0.37,
Smt. Santosh,IND,110,Nangal Raya (G),61,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.38,0.17,
Sh.Subhash Chander,IND,110,Nangal Raya (G),57,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.36,0.16,
Mrs. Sakuntala Arya,IND,110,Nangal Raya (G),37,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.23,0.1,
Sh. Om Datt Sharma,IND,110,Nangal Raya (G),28,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.08,
Kiran,BJP,111,Hari Nagar (W),6040,winner,Women,,,,,,,,,,,,,,,,,,,,,37203,14662,39.41,41.19,16.24,
Raj Kumari,IND,111,Hari Nagar (W),4444,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,30.31,11.95,
Sangeeta Behal,INC,111,Hari Nagar (W),3619,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,24.68,9.73,
Ram Murti,IND,111,Hari Nagar (W),357,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,2.43,0.96,
Gyanwati,IND,111,Hari Nagar (W),202,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,1.38,0.54,
Subhash Arya,BJP,112,Subhash Nagar (G),9325,winner,,,,,,,,,,,,,,,,,,,,,,33435,16888,50.51,55.22,27.89,
Surender Satia,INC,112,Subhash Nagar (G),6841,Lost,,,,,,,,,,,,,,,,,,,,,,,,,40.51,20.46,
Darbara,BSP,112,Subhash Nagar (G),357,Lost,,,,,,,,,,,,,,,,,,,,,,,,,2.11,1.07,
Mohd. Afroz Khan,JD(U),112,Subhash Nagar (G),180,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.07,0.54,
Girdhari Lal,INLD,112,Subhash Nagar (G),102,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.31,
Amarjit Singh,IND,112,Subhash Nagar (G),47,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.28,0.14,
Pawan Kumar,IND,112,Subhash Nagar (G),36,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.21,0.11,
Yash Pal Arya,BJP,113,Mahavir Nagar (G),6548,winner,,,,,,,,,,,,,,,,,,,,,,27292,11961,43.83,54.74,23.99,
SANJEEV KR. ANAND,INC,113,Mahavir Nagar (G),4476,Lost,,,,,,,,,,,,,,,,,,,,,,,,,37.42,16.4,
Raminder Singh,NCP,113,Mahavir Nagar (G),462,Lost,,,,,,,,,,,,,,,,,,,,,,,,,3.86,1.69,
Sunder Singh,BSP,113,Mahavir Nagar (G),337,Lost,,,,,,,,,,,,,,,,,,,,,,,,,2.82,1.23,
Bishan Saroop,IND,113,Mahavir Nagar (G),138,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.15,0.51,
Dr. Anita Babbar,INC,114,Tilak Nagar (W),7847,winner,Women,,,,,,,,,,,,,,,,,,,,,34296,16372,47.74,47.93,22.88,
Paramjeet Kaur,BJP,114,Tilak Nagar (W),7834,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,47.85,22.84,
Prakash,INLD,114,Tilak Nagar (W),455,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,2.78,1.33,
Babita,BSP,114,Tilak Nagar (W),115,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.34,
Supreet Kaur,IND,114,Tilak Nagar (W),69,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,0.42,0.2,
Neelu Chopra,IND,114,Tilak Nagar (W),52,Lost,Women,,,,,,,,,,,,,,,,,,,,,,,,0.32,0.15,
Duli Chand,INC,115,Major Bhupinder Singh Nagar (G),5105,winner,,,,,,,,,,,,,,,,,,,,,,32242,14958,46.39,34.13,15.83,
A Premraj Chandela,JMM,115,Major Bhupinder Singh Nagar (G),4224,Lost,,,,,,,,,,,,,,,,,,,,,,,,,28.24,13.1,
Bhagat Singh,BJP,115,Major Bhupinder Singh Nagar (G),3447,Lost,,,,,,,,,,,,,,,,,,,,,,,,,23.04,10.69,
Vijay Kumar,NCP,115,Major Bhupinder Singh Nagar (G),1175,Lost,,,,,,,,,,,,,,,,,,,,,,,,,7.86,3.64,
Jagmohan Singh Marwah,IND,115,Major Bhupinder Singh Nagar (G),548,Lost,,,,,,,,,,,,,,,,,,,,,,,,,3.66,1.7,
Mohan Lal,IND,115,Major Bhupinder Singh Nagar (G),196,Lost,,,,,,,,,,,,,,,,,,,,,,,,,1.31,0.61,
Gobind Singh,LJP,115,Major Bhupinder Singh Nagar (G),112,Lost,,,,,,,,,,,,,,,,,,,,,,,,,0.75,0.35,
