Candidate,Constituency Name,Ward Number,Party,Valid Votes Polled,Election Outcome,Total Valid Votes,Total Voters,Direction,Reservation Status,Real Assets,Real Liabilities,Asset Error,Age,Marital Status,Dependents,Other Dependents,PAN ,Returns Filed,Spouse PAN,Spouse Returns Filed,Pending Criminal Cases(Affidavit),Convictions,Spouse Assets,Occupation,Spouse Occupation,Votes Polled(Old Data),EDUCATION
NOTA,ALIPUR,3-N,,326,,,,N,Women,,,,,,,,,,,,,,,,,,
Sunita,RAJA GARDEN,3-S,BAHUJAN SAMAJ PARTY,617,Lost,,,S,Women,166200,0,,,,,,,,,,,,,,,,Illiterate
Geeta Mishra,RAJA GARDEN,3-S,INDEPENDENT,49,Lost,,,S,Women,634000,0,,,,,,,,,,,,,,,,Post Graduate
Kavita Tanwar,RAJA GARDEN,3-S,INDEPENDENT,1055,Lost,,,S,Women,1381403,10064,,,,,,,,,,,,,,,,12th Pass
Veena Sharma,JANAKPURI SOUTH,16-S,BHARATIYA JANATA PARTY,9139,Winner,14525,26788,S,Women,30576333,170000,Correct,63,Married,2,0,Yes,No,yes,Yes,0,0,,Housewife,Business,9139,12th Pass
Anita Prabhakar,RAJA GARDEN,3-S,AAM AADMI PARTY,8876,Lost,,,S,Women,25121803,0,,,,,,,,,,,,,,,8876,8th Pass
Abha Mittal,RAJA GARDEN,3-S,INDEPENDENT,153,Lost,,,S,Women,28051000,2308000,,,,,,,,,,,,,,,,Doctorate
Shashi Kiran,RAJA GARDEN,3-S,SHIV SENA,512,Lost,,,S,Women,41447482,1600000,,,,,,,,,,,,,,,,Graduate
Rashmi Sharma,RAJA GARDEN,3-S,INDIAN NATIONAL CONGRESS,3668,Lost,,,S,Women,154489000,0,,,,,,,,,,,,,,,,Graduate
Amarjeet Kaur,RAJA GARDEN,3-S,JANATA DAL (UNITED),430,Lost,,,S,Women,421765497,127456088,,,,,,,,,,,,,,,,10th Pass
NOTA,RAJA GARDEN,3-S,,196,,,,S,Women,,,,,,,,,,,,,,,,,,
Ronak Parveen,JHILMIL,30-E,INDEPENDENT,95,Lost,,,E,Women,63480,0,,,,,,,,,,,,,,,,5th Pass
Sushma,JHILMIL,30-E,BAHUJAN SAMAJ PARTY,638,Lost,,,E,Women,202000,0,,,,,,,,,,,,,,,,10th Pass
Nisha Sharma,JHILMIL,30-E,AAM AADMI PARTY,3747,Lost,,,E,Women,218566,0,,,,,,,,,,,,,,,,Graduate
Asha Jha,JHILMIL,30-E,JANATA DAL (UNITED),86,Lost,,,E,Women,554500,0,,,,,,,,,,,,,,,,12th Pass
Suman Devi,JHILMIL,30-E,INDEPENDENT,44,Lost,,,E,Women,622319,0,,,,,,,,,,,,,,,,5th Pass
"KANCHAN
ARORA",JHILMIL,30-E,INDEPENDENT,129,Lost,,,E,Women,1780801,0,,,,,,,,,,,,,,,,8th Pass
Narender Chawla,JANAKPURI WEST,15-S,BHARATIYA JANATA PARTY,8077,Winner,20320,37742,S,General,2726410,0,Correct,56,Married,0,0,Yes,Yes,Yes,No,0,0,,Business,Business,8077,Graduate
Alka Ahuja,JHILMIL,30-E,BHARATIYA JANATA PARTY,7786,Lost,,,E,Women,13539362,646940,,,,,,,,,,,,,,,7786,12th Pass
NOTA,JHILMIL,30-E,,151,,,,E,Women,,,,,,,,,,,,,,,,,,
Devki Nandan,BAWANA,30-N,INDEPENDENT,74,Lost,,,N,General,90700,0,,,,,,,,,,,,,,,,Illiterate
Mintullah Alam,BAWANA,30-N,INDEPENDENT,1082,Lost,,,N,General,101901,0,,,,,,,,,,,,,,,,12th Pass
Md Sabbir,BAWANA,30-N,INDEPENDENT,83,Lost,,,N,General,240000,0,,,,,,,,,,,,,,,,Illiterate
Malika Afrin,BAWANA,30-N,INDEPENDENT,80,Lost,,,N,General,285000,0,,,,,,,,,,,,,,,,8th Pass
Md Islam,BAWANA,30-N,"COMMUNIST PARTY OF
INDIA",160,Lost,,,N,General,552811,60000,,,,,,,,,,,,,,,,5th Pass
Md Akhtar Ali,BAWANA,30-N,BAHUJAN SAMAJ PARTY,5356,Lost,,,N,General,1031987,600000,,,,,,,,,,,,,,,5356,8th Pass
Kali Mullah,BAWANA,30-N,"LOK JAN SHAKTI
PARTY",577,Lost,,,N,General,1085868,0,,,,,,,,,,,,,,,,Illiterate
Sachin Sharma,JANTA COLONY,51-E,BHARATIYA JANATA PARTY,7677,Winner,24369,44634,E,General,2183000,1720153,Correct,31,married,2,0,yes,yes,yes,yes,0,0,560000,business,business,7677,12th Pass
Devender Kumar,BAWANA,30-N,INDIAN NATIONAL CONGRESS,3263,Lost,,,N,General,20241018,0,,,,,,,,,,,,,,,,8th Pass
Ramesh Kumar Sehrawat,BAWANA,30-N,AAM AADMI PARTY,4969,Lost,,,N,General,45893447,2926143,,,,,,,,,,,,,,,,10th Pass
NOTA,BAWANA,30-N,,166,,,,N,General,,,,,,,,,,,,,,,,,,
Kajal Sehrawat,DABRI,30-S,INDEPENDENT,1375,Lost,,,S,Women,43105,0,,,,,,,,,,,,,,,,12th Pass
Shanti Devi,DABRI,30-S,JANATA DAL (UNITED),82,Lost,,,S,Women,1380000,0,,,,,,,,,,,,,,,,8th Pass
Annu Choudhary,DABRI,30-S,INDEPENDENT,246,Lost,,,S,Women,1977877,0,,,,,,,,,,,,,,,,Post Graduate
Sajida Khan,DABRI,30-S,INDEPENDENT,2219,Lost,,,S,Women,1992000,0,,,,,,,,,,,,,,,,Graduate
Prema Devi,DABRI,30-S,BAHUJAN SAMAJ PARTY,200,Lost,,,S,Women,2629005,38860,,,,,,,,,,,,,,,,5th Pass
Rekha Sinha,JHARODA,8-N,BHARATIYA JANATA PARTY,11188,Winner,30885,57839,N,Women,11880787,0,Correct,48,married,1,0,yes,yes,yes,yes,0,0,3322916,social Worker,professional,11188,Graduate
Bindu Singh,DABRI,30-S,AAM AADMI PARTY,7211,Lost,,,S,Women,20956310,171117,,,,,,,,,,,,,,,7211,5th Pass
Tilotma Choudhary,DABRI,30-S,INDIAN NATIONAL CONGRESS,6839,Lost,,,S,Women,26554341,435132,,,,,,,,,,,,,,,,Graduate
NOTA,DABRI,30-S,,213,,,,S,Women,,,,,,,,,,,,,,,,,,
Mohit Kundalia,SHAHDARA,31-E,INDEPENDENT,269,Lost,,,E,General,55000,0,,,,,,,,,,,,,,,,12th Pass
Sunita,SHAHDARA,31-E,BAHUJAN SAMAJ PARTY,1840,Lost,,,E,General,148500,0,,,,,,,,,,,,,,,,8th Pass
Sanjay Gupta,SHAHDARA,31-E,SHIV SENA,148,Lost,,,E,General,1631466,0,,,,,,,,,,,,,,,,8th Pass
Dal Chand,SHAHDARA,31-E,INDEPENDENT,2086,Lost,,,E,General,2731943,0,,,,,,,,,,,,,,,,12th Pass
LALIT KUMAR TESHWAR,SHAHDARA,31-E,INDEPENDENT,951,Lost,,,E,General,3108440,0,,,,,,,,,,,,,,,,10th Pass
"GEETIKA
PANKAJ LUTHRA",JHILMIL,30-E,INDIAN NATIONAL CONGRESS,12238,Winner,24914,41802,E,Women,23424705,3585000,Correct,32,married,2,0,yes,yes,yes,yes,0,0,16426612,real Estate,real estate,12238,10th Pass
Sandeep Goswami,SHAHDARA,31-E,INDIAN NATIONAL CONGRESS,5664,Lost,,,E,General,6607384,1379701,,,,,,,,,,,,,,,5664,12th Pass
"SURENDER
KUMAR GUPTA",SHAHDARA,31-E,AAM AADMI PARTY,4692,Lost,,,E,General,16951138,0,,,,,,,,,,,,,,,,12th Pass
NOTA,SHAHDARA,31-E,,163,,,,E,General,,,,,,,,,,,,,,,,,,
Kavita,POOTH KHURD,31-N,INDIAN NATIONAL CONGRESS,7033,Lost,,,N,Women,41932,23400,,,,,,,,,,,,,,,7033,12th Pass
Vinita Gupta,POOTH KHURD,31-N,INDEPENDENT,16,Lost,,,N,Women,210000,0,,,,,,,,,,,,,,,,12th Pass
Sarita,POOTH KHURD,31-N,JANATA DAL (UNITED),512,Lost,,,N,Women,589386,0,,,,,,,,,,,,,,,,Literate
Sakuntla,POOTH KHURD,31-N,BAHUJAN SAMAJ PARTY,845,Lost,,,N,Women,840000,0,,,,,,,,,,,,,,,,12th Pass
Jyoti,POOTH KHURD,31-N,INDEPENDENT,76,Lost,,,N,Women,2173001,0,,,,,,,,,,,,,,,,8th Pass
Kanhaiya Lal,JOHARIPUR,52-E,BHARATIYA JANATA PARTY,11183,Winner,31453,52183,E,SC,492810,0,Correct,43,married,2,0,yes,no,no,no,0,0,150500,business,housewife,11183,10th Pass
Vandana,POOTH KHURD,31-N,INDEPENDENT,466,Lost,,,N,Women,6858881,200000,,,,,,,,,,,,,,,,12th Pass
Umindera Devi,POOTH KHURD,31-N,AAM AADMI PARTY,4400,Lost,,,N,Women,26988067,100000,,,,,,,,,,,,,,,,10th Pass
NOTA,POOTH KHURD,31-N,,116,,,,N,Women,,,,,,,,,,,,,,,,,,
Faisal Khan,SAGARPUR-WEST,31-S,"COMMUNIST PARTY OF INDIA
(MARXIST)",245,Lost,,,S,General,102005,0,,,,,,,,,,,,,,,,12th Pass
Rajinder Kumar,SAGARPUR-WEST,31-S,INDEPENDENT,104,Lost,,,S,General,225779,0,,,,,,,,,,,,,,,,10th Pass
Sanjeev,SAGARPUR-WEST,31-S,INDEPENDENT,161,Lost,,,S,General,969000,0,,,,,,,,,,,,,,,,5th Pass
Amit Panwar,SAGARPUR-WEST,31-S,INDEPENDENT,393,Lost,,,S,General,1407293,0,,,,,,,,,,,,,,,,Graduate
D S Rawat,SAGARPUR-WEST,31-S,INDEPENDENT,565,Lost,,,S,General,2295079,0,,,,,,,,,,,,,,,,10th Pass
Puneet Sharma,SAGARPUR-WEST,31-S,AAM AADMI PARTY,7193,Lost,,,S,General,3027961,0,,,,,,,,,,,,,,,7193,Graduate Professional
Urmila Rana,KADIPUR,6-N,BHARATIYA JANATA PARTY,13709,Winner,29850,48811,N,Women,18413753,0,Correct,40,married,nil,nil,yes,yes,yes,yes,0,0,16946303,farmer,self-Employed,13709,Graduate
Subhash Chander,SAGARPUR-WEST,31-S,INDIAN NATIONAL CONGRESS,6515,Lost,,,S,General,3787149,0,,,,,,,,,,,,,,,,12th Pass
Usha Gupta,SAGARPUR-WEST,31-S,INDEPENDENT,2285,Lost,,,S,General,17750000,0,,,,,,,,,,,,,,,,5th Pass
NOTA,SAGARPUR-WEST,31-S,,156,,,,S,General,,,,,,,,,,,,,,,,,,
Suman,NAND NAGRI,32-E,INDEPENDENT,331,Lost,,,E,SC,63500,0,,,,,,,,,,,,,,,,Graduate Professional
"PRIGIYA PRIYA
RAHUL",NAND NAGRI,32-E,INDEPENDENT,85,Lost,,,E,SC,300800,1288,,,,,,,,,,,,,,,,Graduate
Manoj,NAND NAGRI,32-E,INDEPENDENT,308,Lost,,,E,SC,713256,0,,,,,,,,,,,,,,,,10th Pass
"RAMESH
KUMAR",NAND NAGRI,32-E,AAM AADMI PARTY,7023,Lost,,,E,SC,1051674,0,,,,,,,,,,,,,,,,12th Pass
Om Vir Singh,NAND NAGRI,32-E,INDEPENDENT,267,Lost,,,E,SC,1534000,0,,,,,,,,,,,,,,,,Graduate
Bharat Lal,NAND NAGRI,32-E,BHARATIYA JANATA PARTY,9650,Lost,,,E,SC,3235000,0,,,,,,,,,,,,,,,9650,12th Pass
Vicky,NAND NAGRI,32-E,INDEPENDENT,298,Lost,,,E,SC,3488000,1755000,,,,,,,,,,,,,,,,12th Pass
Rajdutt,KAKRAULA,35-S,BHARATIYA JANATA PARTY,9870,Winner,29489,57199,S,General,42051000,0,Correct,53,Married,2,0,Yes,Yes,Yes,Yes,0,0,,Business,Business,9870,10th Pass
"LALLAN
PRASAD",NAND NAGRI,32-E,BAHUJAN SAMAJ PARTY,3591,Lost,,,E,SC,8904000,0,,,,,,,,,,,,,,,,10th Pass
Bhim Singh,NAND NAGRI,32-E,INDEPENDENT,132,Lost,,,E,SC,9470576,200000,,,,,,,,,,,,,,,,Others
NOTA,NAND NAGRI,32-E,,134,,,,E,SC,,,,,,,,,,,,,,,,,,
Anil Kumar,ROHINI-C,32-N,INDEPENDENT,40,Lost,,,N,General,21000,0,,,,,,,,,,,,,,,,8th Pass
Sujat Husen,ROHINI-C,32-N,JANATA DAL (UNITED),175,Lost,,,N,General,92000,0,,,,,,,,,,,,,,,,5th Pass
Sunil Kumar,ROHINI-C,32-N,"COMMUNIST PARTY OF INDIA
(MARXIST)",166,Lost,,,N,General,585313,0,,,,,,,,,,,,,,,,Post Graduate
Suresh,ROHINI-C,32-N,INDEPENDENT,602,Lost,,,N,General,2020000,650000,,,,,,,,,,,,,,,,Illiterate
Vishnu,ROHINI-C,32-N,INDEPENDENT,203,Lost,,,N,General,2195400,0,,,,,,,,,,,,,,,,12th Pass
Sonu Pandey,ROHINI-C,32-N,INDEPENDENT,34,Lost,,,N,General,2502749,0,,,,,,,,,,,,,,,,Literate
Rakesh_1,ROHINI-C,32-N,BHARATIYA JANATA PARTY,7952,Lost,,,N,General,3338019,0,,,,,,,,,,,,,,,7952,12th Pass
Manpreet Kaur Kalra,KALKAJI,90-S,BHARATIYA JANATA PARTY,12252,Winner,28341,57666,S,Women,80456610,600000,Correct,45,married,0,0,yes,yes,yes,yes,0,0,76721016,business,business,12252,Others
Sunil Sahni,ROHINI-C,32-N,INDEPENDENT,662,Lost,,,N,General,5075615,2500000,,,,,,,,,,,,,,,,8th Pass
Ved Parkash Juneja,ROHINI-C,32-N,INDEPENDENT,1138,Lost,,,N,General,9572000,234000,,,,,,,,,,,,,,,,10th Pass
Arvind,ROHINI-C,32-N,INDEPENDENT,39,Lost,,,N,General,26026084,0,,,,,,,,,,,,,,,,12th Pass
Ajay Rana,ROHINI-C,32-N,INDIAN NATIONAL CONGRESS,2984,Lost,,,N,General,36519171,0,,,,,,,,,,,,,,,,Graduate
Baldev Singh Barwala_1,ROHINI-C,32-N,AAM AADMI PARTY,5263,Lost,,,N,General,158790015,0,,,,,,,,,,,,,,,,12th Pass
NOTA,ROHINI-C,32-N,,229,,,,N,General,,,,,,,,,,,,,,,,,,
Monika,SAGARPUR-EAST,32-S,INDEPENDENT,66,Lost,,,S,Women,219848,0,,,,,,,,,,,,,,,,Graduate
Laxmi Devi,SAGARPUR-EAST,32-S,INDEPENDENT,298,Lost,,,S,Women,955000,0,,,,,,,,,,,,,,,,10th Pass
Anita Devi,SAGARPUR-EAST,32-S,BAHUJAN SAMAJ PARTY,82,Lost,,,S,Women,1469525,0,,,,,,,,,,,,,,,,10th Pass
Geeta Rajput,SAGARPUR-EAST,32-S,AAM AADMI PARTY,9060,Lost,,,S,Women,2001533,131512,,,,,,,,,,,,,,,9060,10th Pass
"KULDEEP
KUMAR",KALYAN PURI,8-E,AAM AADMI PARTY,8260,Winner,24499,38858,E,SC,2995742,88500,Correct,27,married,1,0,yes,yes,yes,no,0,0,264778,business,housewife,8260,12th Pass
Kanta Devi,SAGARPUR-EAST,32-S,INDEPENDENT,298,Lost,,,S,Women,6655666,212520,,,,,,,,,,,,,,,,5th Pass
Neha Rani,SAGARPUR-EAST,32-S,INDEPENDENT,645,Lost,,,S,Women,7897887,1719086,,,,,,,,,,,,,,,,12th Pass
Simmi Yadav,SAGARPUR-EAST,32-S,INDIAN NATIONAL CONGRESS,2773,Lost,,,S,Women,8045870,0,,,,,,,,,,,,,,,,Post Graduate
Rekha Bhardwaj,SAGARPUR-EAST,32-S,INDEPENDENT,275,Lost,,,S,Women,12124000,240000,,,,,,,,,,,,,,,,12th Pass
Kamlesh Devi,SAGARPUR-EAST,32-S,INDEPENDENT,79,Lost,,,S,Women,14034533,0,,,,,,,,,,,,,,,,8th Pass
Asha Rajput,SAGARPUR-EAST,32-S,INDEPENDENT,3968,Lost,,,S,Women,53836664,2401067,,,,,,,,,,,,,,,,Graduate Professional
Promila Mishra,SAGARPUR-EAST,32-S,INDEPENDENT,38,Lost,,,S,Women,133150000,0,,,,,,,,,,,,,,,,5th Pass
NOTA,SAGARPUR-EAST,32-S,,138,,,,S,Women,,,,,,,,,,,,,,,,,,
Versha,SUNDER NAGRI,33-E,BAHUJAN SAMAJ PARTY,732,Lost,,,E,SCW,16000,0,,,,,,,,,,,,,,,,12th Pass
Pooja,SUNDER NAGRI,33-E,INDEPENDENT,103,Lost,,,E,SCW,158000,0,,,,,,,,,,,,,,,,8th Pass
Rani,SUNDER NAGRI,33-E,BHARATIYA JANATA PARTY,8595,Lost,,,E,SCW,551575,302535,,,,,,,,,,,,,,,8595,5th Pass
Kiran Vati Tank,SUNDER NAGRI,33-E,INDIAN NATIONAL CONGRESS,982,Lost,,,E,SCW,4066215,17647,,,,,,,,,,,,,,,,Graduate
Kaustuba Nand Balodi,KAMALPUR,9-N,BHARATIYA JANATA PARTY,13114,Winner,26994,50573,N,General,8145680,0,Correct,48,married,1,0,yes,yes,no,no,0,0,3628820,business,tutor,13114,Post Graduate
Raj Kumari,SUNDER NAGRI,33-E,"ALL INDIA MAJLIS­E­ ITTEHADUL
MUSLIMEEN",2680,Lost,,,E,SCW,7171515,167500,,,,,,,,,,,,,,,,8th Pass
Sunita,SUNDER NAGRI,33-E,INDEPENDENT,61,Lost,,,E,SCW,25849079,4550000,,,,,,,,,,,,,,,,12th Pass
NOTA,SUNDER NAGRI,33-E,,83,,,,E,SCW,,,,,,,,,,,,,,,,,,
Reeta,BEGUMPUR,33-N,INDEPENDENT,115,Lost,,,N,Women,732000,0,,,,,,,,,,,,,,,,8th Pass
Neelam,BEGUMPUR,33-N,INDEPENDENT,797,Lost,,,N,Women,1870000,450000,,,,,,,,,,,,,,,,10th Pass
Deepanjali,BEGUMPUR,33-N,INDEPENDENT,39,Lost,,,N,Women,2914189,0,,,,,,,,,,,,,,,,8th Pass
Jogi Ram Jain,KAMLA NAGAR,78-N,BHARATIYA JANATA PARTY,9745,Winner,23238,40466,N,General,98061000,1737000,Correct,66,married,na,na,yes,yes,yes,yes,0,0,31291000,retired,housewife,9745,Post Graduate
Rajni Devi,BEGUMPUR,33-N,INDEPENDENT,896,Lost,,,N,Women,4633087,0,,,,,,,,,,,,,,,,8th Pass
Bhawna_1,BEGUMPUR,33-N,BAHUJAN SAMAJ PARTY,2670,Lost,,,N,Women,7074289,497324,,,,,,,,,,,,,,,,Graduate
Jagwati,BEGUMPUR,33-N,INDEPENDENT,396,Lost,,,N,Women,23421800,865000,,,,,,,,,,,,,,,,8th Pass
Anita Yadav_1,BEGUMPUR,33-N,INDIAN NATIONAL CONGRESS,2421,Lost,,,N,Women,33950556,0,,,,,,,,,,,,,,,,12th Pass
Kiran_1,BEGUMPUR,33-N,BHARATIYA JANATA PARTY,6662,Lost,,,N,Women,37570437,1105384,,,,,,,,,,,,,,,6662,12th Pass
NOTA,BEGUMPUR,33-N,,135,,,,N,Women,,,,,,,,,,,,,,,,,,
Deepak Kumar,MANGLAPURI,33-S,INDEPENDENT,47,Lost,,,S,General,15212,0,,,,,,,,,,,,,,,,8th Pass
Nishika,MANGLAPURI,33-S,BAHUJAN SAMAJ PARTY,253,Lost,,,S,General,36263,0,,,,,,,,,,,,,,,,Graduate
Krishan Mohan Pandey,MANGLAPURI,33-S,INDEPENDENT,63,Lost,,,S,General,295676,12862,,,,,,,,,,,,,,,,10th Pass
Devender Kumar,MANGLAPURI,33-S,RASHTRIYA JANTA DAL,247,Lost,,,S,General,850000,0,,,,,,,,,,,,,,,,Illiterate
Nitin Sharma,MANGLAPURI,33-S,INDEPENDENT,52,Lost,,,S,General,970996,0,,,,,,,,,,,,,,,,12th Pass
Vijay Sharma,MANGLAPURI,33-S,INDEPENDENT,1555,Lost,,,S,General,2135080,131000,,,,,,,,,,,,,,,,12th Pass
Maya,MANGLAPURI,33-S,INDEPENDENT,275,Lost,,,S,General,2671600,0,,,,,,,,,,,,,,,,5th Pass
Poonam Dabas,KANJHAWALA,35-N,BHARATIYA JANATA PARTY,13820,Winner,32697,58176,N,Women,73202407,0,Correct,,married,3,0,no,no,yes,no,0,0,70839617,housewife,farmer,13820,10th Pass
Maya Devi,MANGLAPURI,33-S,INDIAN NATIONAL CONGRESS,1943,Lost,,,S,General,9036527,0,,,,,,,,,,,,,,,,8th Pass
Mukesh,MANGLAPURI,33-S,INDEPENDENT,947,Lost,,,S,General,9498506,465954,,,,,,,,,,,,,,,,12th Pass
Rajbala Devi,MANGLAPURI,33-S,INDEPENDENT,135,Lost,,,S,General,10994860,0,,,,,,,,,,,,,,,,10th Pass
Vijay Pawaria,MANGLAPURI,33-S,INDEPENDENT,395,Lost,,,S,General,31021180,0,,,,,,,,,,,,,,,,12th Pass
Pramod Kumar,MANGLAPURI,33-S,INDEPENDENT,1184,Lost,,,S,General,51247271,0,,,,,,,,,,,,,,,,Graduate
Krishan Kumar Godara,MANGLAPURI,33-S,BHARATIYA JANATA PARTY,6693,Lost,,,S,General,56219924,3217000,,,,,,,,,,,,,,,6693,Post Graduate
Vijender Singh,MANGLAPURI,33-S,INDEPENDENT,544,Lost,,,S,General,59020681,3314188,,,,,,,,,,,,,,,,10th Pass
NOTA,MANGLAPURI,33-S,,103,,,,S,General,,,,,,,,,,,,,,,,,,
Sunita,NEW SEEMAPURI,34-E,BAHUJAN SAMAJ PARTY,1595,Lost,,,E,Women,220070,91000,,,,,,,,,,,,,,,,Illiterate
Sartaj,NEW SEEMAPURI,34-E,INDEPENDENT,284,Lost,,,E,Women,381054,0,,,,,,,,,,,,,,,,8th Pass
Ishme Tara,NEW SEEMAPURI,34-E,INDEPENDENT,136,Lost,,,E,Women,545000,0,,,,,,,,,,,,,,,,Graduate
Manju Sharma,NEW SEEMAPURI,34-E,INDEPENDENT,74,Lost,,,E,Women,749000,0,,,,,,,,,,,,,,,,12th Pass
Kanchan Maheshwari,KANTI NAGAR,26-E,BHARATIYA JANATA PARTY,15491,Winner,28153,54484,E,Women,22817295,2699000,Correct,43,Married,2,0,Yes,Yes,Yes,Yes,0,0,19480673,business,business,15491,Graduate
Krishna Mishra,NEW SEEMAPURI,34-E,BHARATIYA JANATA PARTY,7373,Lost,,,E,Women,7047500,0,,,,,,,,,,,,,,,,Post Graduate
Tahira Mirza,NEW SEEMAPURI,34-E,"SAMAJWADI
PARTY",1284,Lost,,,E,Women,11128100,2000000,,,,,,,,,,,,,,,,Post Graduate
Radha Davi,NEW SEEMAPURI,34-E,INDEPENDENT,73,Lost,,,E,Women,11384700,166000,,,,,,,,,,,,,,,,Illiterate
Geeta Kumari,NEW SEEMAPURI,34-E,INDIAN NATIONAL CONGRESS,7774,Lost,,,E,Women,19186987,1910000,,,,,,,,,,,,,,,7774,Others
Simmi Mehta,NEW SEEMAPURI,34-E,INDEPENDENT,321,Lost,,,E,Women,21790291,4960120,,,,,,,,,,,,,,,,8th Pass
NOTA,NEW SEEMAPURI,34-E,,152,,,,E,Women,,,,,,,,,,,,,,,,,,
Pankaj Kumar,ROHINI-D,34-N,INDEPENDENT,27,Lost,,,N,General,25000,0,,,,,,,,,,,,,,,,12th Pass
Sunil,ROHINI-D,34-N,INDEPENDENT,2361,Lost,,,N,General,129485,0,,,,,,,,,,,,,,,,Graduate
Kuldeep,ROHINI-D,34-N,"ALL INDIA FORWARD
BLOC",521,Lost,,,N,General,149000,79000,,,,,,,,,,,,,,,,12th Pass
Laturi Singh,ROHINI-D,34-N,INDEPENDENT,118,Lost,,,N,General,1057463,0,,,,,,,,,,,,,,,,8th Pass
Rampal,ROHINI-D,34-N,INDIAN NATIONAL LOK DAL,102,Lost,,,N,General,1128838,0,,,,,,,,,,,,,,,,Post Graduate
Rajender Prasad,ROHINI-D,34-N,BAHUJAN SAMAJ PARTY,630,Lost,,,N,General,1171805,0,,,,,,,,,,,,,,,,12th Pass
Jagmendra,ROHINI-D,34-N,INDEPENDENT,536,Lost,,,N,General,1215625,0,,,,,,,,,,,,,,,,8th Pass
Sarabjeet Singh,ROHINI-D,34-N,"NATIONALIST CONGRESS
PARTY",110,Lost,,,N,General,1630935,226631,,,,,,,,,,,,,,,,5th Pass
Sanjay Kumar,ROHINI-D,34-N,INDEPENDENT,127,Lost,,,N,General,1755763,0,,,,,,,,,,,,,,,,8th Pass
Anil Kumar,ROHINI-D,34-N,INDEPENDENT,108,Lost,,,N,General,1761477,500000,,,,,,,,,,,,,,,,12th Pass
Shri Bhagwan_2,ROHINI-D,34-N,AAM AADMI PARTY,5335,Lost,,,N,General,3153068,455693,,,,,,,,,,,,,,,,12th Pass
Yogesh Kumar,ROHINI-D,34-N,INDEPENDENT,486,Lost,,,N,General,3242416,337916,,,,,,,,,,,,,,,,12th Pass
Aarti Yadav,KAPASHERA,49-S,INDEPENDENT,3741,Winner,10031,17992,S,Women,1825571,0,Correct,21,married,0,0,no,no,yes,yes,0,0,155710,housewife,business,3741,Graduate
Hans Raj,ROHINI-D,34-N,INDEPENDENT,1185,Lost,,,N,General,4677448,0,,,,,,,,,,,,,,,,10th Pass
Santosh Parkhi,ROHINI-D,34-N,SHIV SENA,310,Lost,,,N,General,24407605,1300000,,,,,,,,,,,,,,,,10th Pass
Ajeet Singh,ROHINI-D,34-N,INDIAN NATIONAL CONGRESS,6961,Lost,,,N,General,83559538,2650000,,,,,,,,,,,,,,,6961,Others
Vijender Solanki,ROHINI-D,34-N,INDEPENDENT,495,Lost,,,N,General,90246035,11237357,,,,,,,,,,,,,,,,10th Pass
NOTA,ROHINI-D,34-N,,160,,,,N,General,,,,,,,,,,,,,,,,,,
Sakshi Dahiya,NANGLI SAKRAWATI,34-S,INDEPENDENT,56,Lost,,,S,Women,82000,0,,,,,,,,,,,,,,,,Graduate
Pushpa Kumari,NANGLI SAKRAWATI,34-S,INDEPENDENT,43,Lost,,,S,Women,1164248,155900,,,,,,,,,,,,,,,,Graduate
Rekha Nair,NANGLI SAKRAWATI,34-S,INDEPENDENT,328,Lost,,,S,Women,2021344,0,,,,,,,,,,,,,,,,10th Pass
Sunita,KARAMPURA,99-N,BHARATIYA JANATA PARTY,11101,Winner,33970,58845,N,Women,838624,0,Error -Fixed,27,single,0,0,yes,yes,na,na,0,0,,not working,,11101,Graduate
Sangeeta,NANGLI SAKRAWATI,34-S,INDEPENDENT,78,Lost,,,S,Women,4220000,0,,,,,,,,,,,,,,,,Illiterate
Beena,NANGLI SAKRAWATI,34-S,INDEPENDENT,1007,Lost,,,S,Women,4847950,1314000,,,,,,,,,,,,,,,,Graduate
Pushpa Sinha,NANGLI SAKRAWATI,34-S,AAM AADMI PARTY,3768,Lost,,,S,Women,7589513,1393508,,,,,,,,,,,,,,,,12th Pass
Priyanka Verma,NANGLI SAKRAWATI,34-S,BHARATIYA JANATA PARTY,8806,Lost,,,S,Women,19038891,3256072,,,,,,,,,,,,,,,8806,Graduate
Ritu Diwakar,NANGLI SAKRAWATI,34-S,INDEPENDENT,436,Lost,,,S,Women,38137990,948273,,,,,,,,,,,,,,,,12th Pass
Anupam Kumari,NANGLI SAKRAWATI,34-S,INDEPENDENT,4237,Lost,,,S,Women,77936988,396103,,,,,,,,,,,,,,,,Post Graduate
NOTA,NANGLI SAKRAWATI,34-S,,176,,,,S,Women,,,,,,,,,,,,,,,,,,
Davendra,DILSHAD GARDEN,35-E,INDEPENDENT,416,Lost,,,E,General,306604,52836,,,,,,,,,,,,,,,,5th Pass
"SAMBHU
KUMAR",DILSHAD GARDEN,35-E,JANATA DAL (UNITED),49,Lost,,,E,General,430586,0,,,,,,,,,,,,,,,,12th Pass
"SUDHIR
KUMAR",DILSHAD GARDEN,35-E,BAHUJAN SAMAJ PARTY,286,Lost,,,E,General,846124,0,,,,,,,,,,,,,,,,12th Pass
Kavita Chouhan,DILSHAD GARDEN,35-E,INDEPENDENT,118,Lost,,,E,General,1503600,35667,,,,,,,,,,,,,,,,12th Pass
